Code,Name,man-hinh-lenovo,man-hinh-msi,man-hinh-huntkey,man-hinh-gigabyte,man-hinh-dell,man-hinh-lg,man-hinh-samsung,man-hinh-aoc,man-hinh-viewsonic,man-hinh-hp,man-hinh-acer,man-hinh-asus,man-hinh-benq,man-hinh-hang-khac,man-hinh-hkc,phu-kien-ghep-man-hinh,gia-treo-man-hinh,acer,aoc,asus,benq,bjx,bratech,coolermaster,dell,fujitsu,gigabyte,hkc,hp,huntkey,kinglight,lenovo,lg,msi,northbayou,phillip,samsung,thinkview,viewsonic,duoi-2trieu,2trieu-3trieu,3trieu-5trieu,5trieu-7trieu,7trieu-9trieu,9trieu-12trieu,12trieu-15trieu,15trieu-18trieu,18trieu-20trieu,20trieu-30trieu,tren-30trieu,thiet-ke-do-hoa,gaming-1-1-1,pho-thong-van-phong-1-1,15-inch,156-inch,17-inch,185-inch,19-inch,195-inch,207-inch,215-inch,23-inch,236-inch,238-inch,24-inch,245-inch,25-inch,27-inch,28-inch,29-inch,30-inch,315-inch,32-inch,34-inch,35-inch,38-inch,43-inch,49-inch,65-inch,hd-1366x768-1,hd-1600x900-1,full-hd-1920x1080-1-1,uwhd-2560x1080,wuxga-1920x1200,qhd-2560x1440-1,wqhd-3440x1440,wqhd3840-x-1600,dualqhd-5120x1440,4k-3840x2160-1,khac-1-1-1-1-1-1,ips,pls,va,tn,60-hz-1,75-hz,100-hz,120-hz-1,144-hz-1,165-hz,200-hz,240-hz-1,280-hz,05ms,1ms,khac,4ms,5ms,6ms,7ms,8ms,12ms,200-cdm,220-cdm,240-cdm,250-cdm,270-cdm,280-cdm,300-cdm,330-cdm,350-cdm,370-cdm,400-cdm,450-cdm,500-cdm,600-cdm,1000-cdm,hdmi,displayport,dvi,vga,usb-1,usb-c,thunder-bolt-3,man-hinh-phang,man-hinh-cong-1,167-trieu-mau,107-ti-mau,amd-freesync,nvidia-g-sync,co-1-1,khong-1-1,duoi-99-srgb,99-srgb,tren-100-srgb,co-tich-hop-loa
MOAS137,Màn hình Asus VG279Q (27 inch/FHD/IPS/144Hz/1ms/400cd/m²/DP+HDMI+DVI/Loa 2x2w),No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes
MOSA195,Màn hình Samsung LU28H750UQEXXV (28 inch/4K/IPS/350cd/m²/DP+HDMI/60Hz/5ms),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
MOAC047,Màn hình Acer R241YB (23.8 inch/FHD/LED/IPS/DVI+HDMI+VGA/75Hz/1ms/250 cd/m²),No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No
MOVI080,Màn Hình Viewsonic VA2407H (23.6/FHD/LED/TN/60Hz/5ms/250 nits/HDMI+VGA),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No
MOVI089,Màn hình Viewsonic VX2758-C-MH (27 inch/FHD/LED/VA/144Hz/4ms/280 nits/HDMI+VGA/Cong),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
MOAS139,Màn hình Asus VG248QG (24 inch/FHD/TN/165Hz/0.5ms/350cd/m²/DP+HDMI+DVI/Loa 2x2W),No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes
MOHP120,Màn hình HP 27F (27inch/FHD/IPS/60Hz/5ms/300nits/HDMI+VGA),No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No
MOAO135,Màn hình AOC 24V2Q (23.8 inch/LED/IPS/75Hz/250cd/m²/DP+HDMI/5ms),No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No
MOBJ001,Màn hình BJX G30P5 (30 inch/UWHD/VA/200Hz/5ms/HDMI+DP/Free-Sync/Cong),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No
MOHK013,Màn hình HKC M27A6FX (27 inch/FHD/VA/75Hz/12ms/220 nits/HDMI+VGA),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No
