, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ ,  Loại case ,  Chất liệu ,  Kích thước Mainboard ,  Số lượng ổ 5.25 ,  Số lượng ổ 3.5 tối đa ,  Số lượng ổ 2.5 tối đa ,  Cửa sổ hông ,  Màu case ,  Số lượng quạt đi kèm 
0,CPU - Bộ vi xử lý,AEROCOOL,Dưới 1 triệu,Open Air,Kính cường lực,mini-ITX,0,1-5,1-5,Kính,Xanh dương,0
1,Mainboard - Bo mạch chủ,ANTEC,1 triệu - 2 triệu,ATX Super Tower,Nhựa,M-ATX,1-5,6-10,6-10,Mica,Đen,1
2,RAM - Bộ nhớ trong,ANTECH,2 triệu - 3 triệu,ATX Full Tower,Nhôm,ATX,,11-15,11-15,Không có,Đỏ,2
3,Ổ cứng HDD,ASUS,Trên 3 triệu,ATX Mid Tower,Thép,E-ATX,,,,,Xám,3
4,Ổ cứng SSD,COOLER MASTER,,Mini ATX,,CEB,,,,,Trắng,4
5,ODD - Ổ đĩa quang,CORSAIR,,Mini ITX,,EEB,,,,,Hồng,5
6,VGA - Card Màn Hình,COUGAR,,,,,,,,,Bạc,6
7,Case - Vỏ máy tính,DEEP COOL,,,,,,,,,,
8,PSU - Nguồn máy tính,E-DRA,,,,,,,,,,
9,,EKWB,,,,,,,,,,
10,,FSP,,,,,,,,,,
11,,GAMEMAX,,,,,,,,,,
12,,GIGABYTE,,,,,,,,,,
13,,GOLDEN FIELD,,,,,,,,,,
14,,HÃNG KHÁC,,,,,,,,,,
15,,ID COOLING,,,,,,,,,,
16,,IN WIN,,,,,,,,,,
17,,JETEK,,,,,,,,,,
18,,JONSBO,,,,,,,,,,
19,,KENOO,,,,,,,,,,
20,,LIAN-LI,,,,,,,,,,
21,,MSI,,,,,,,,,,
22,,NEXUS,,,,,,,,,,
23,,NZXT,,,,,,,,,,
24,,ORIENT,,,,,,,,,,
25,,PHANTEKS,,,,,,,,,,
26,,RAIJINTEK,,,,,,,,,,
27,,SAMA,,,,,,,,,,
28,,SILVERSTONE,,,,,,,,,,
29,,SUPERMICRO,,,,,,,,,,
30,,THERMALTAKE,,,,,,,,,,
31,,VITRA DRAGON,,,,,,,,,,
32,,XIGMATEK,,,,,,,,,,
33,,XTECH,,,,,,,,,,
