, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ ,  Đèn LED ,  Kết Nối ,  Màu Sắc ,  Thiết Kế ,  Chuẩn giao tiếp 
0,Chuột chơi game,1STPLAYER,Dưới 500 ngàn,RGB LED,Có Dây,Đen,Thuận tay (Ergonomic),PS/2
1,Chuột Máy Tính Giá Rẻ,A4TECH,500 ngàn - 1 triệu,Đơn LED,Wireless,Trắng,Đối xứng (Ambidextrous),Wireless
2,,AJAZZ,1 triệu - 2 triệu,Không Có,Bluetooth,Khác,,USB
3,,AKKO,2 triệu - 4 triệu,,,,,
4,,AOC,Trên 4 triệu,,,,,
5,,ARMAGGEDDON,,,,,,
6,,ASROCK,,,,,,
7,,ASUS,,,,,,
8,,BENQ,,,,,,
9,,BFRIEND,,,,,,
10,,BJX,,,,,,
11,,CIDOO,,,,,,
12,,COOLER MASTER,,,,,,
13,,CORSAIR,,,,,,
14,,COUGAR,,,,,,
15,,DAREU,,,,,,
16,,DELL,,,,,,
17,,DELUX,,,,,,
18,,DUCKY,,,,,,
19,,DURGOD,,,,,,
20,,E-BLUE,,,,,,
21,,E-DRA,,,,,,
22,,FOXXRAY,,,,,,
23,,FUHLEN,,,,,,
24,,GEEZER,,,,,,
25,,GENIUS,,,,,,
26,,GIGABYTE,,,,,,
27,,HÃNG KHÁC,,,,,,
28,,IROCKS,,,,,,
29,,I-TEK,,,,,,
30,,JUPISTAR,,,,,,
31,,KINGSTON,,,,,,
32,,LANJUN,,,,,,
33,,LOGITECH,,,,,,
34,,MADCATZ,,,,,,
35,,MICROSOFT,,,,,,
36,,MOFII,,,,,,
37,,MOTOSPEED,,,,,,
38,,MSI,,,,,,
39,,NEWMEN,,,,,,
40,,OZONE,,,,,,
41,,RAPOO,,,,,,
42,,RAZER,,,,,,
43,,ROCCAT,,,,,,
44,,STEELSERIES,,,,,,
45,,ZOWIE,,,,,,
