,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,CSTH099,Vỏ Case Thermaltake Level 20 GT RGB Plus Edition (Full Tower/Màu Đen/Ghi),24 tháng,6989000,5899000,img/CASE/250_43987_case_thermaltake_level_20_gt_rgb_plus_edition_0001_1__3_.jpg,['']
1,CSED001,Vỏ Case E-Dra ECS1101 (Mini Tower/Màu Đen),24 tháng,349000,299000,img/CASE/250_45037_case_e_dra_ecs1101_black_0000_1__2_.jpg,['']
2,CSPT051,"Vỏ Case Phanteks Eclipse P360X Tempered Glass, Digtial RGB Lighting  (Mid Tower/Màu Đen) PH-EC360PTG_DBK01 ",24 tháng,0,1879000,img/CASE/250_48638_case_phanteks_eclipse_p360x_tempered_glass_digtial_rgb_lighting_black_ph_ec360ptg_dbk01_1.jpg,"['- Nội thất sạch sẽ\r', '- Cửa kính hông\r', '- Thiết kế độc đáo với đèn led D-RGB tích hợp\r', '- Tích hợp miếng che nguồn\r', '- Tương thích tối đa Mainboad 280mm E-ATX\r']"
3,CSCS071,Vỏ Case Corsair 175R (Mid Tower/Màu Đen),24 tháng,0,1499000,img/CASE/250_46889_case_corsair_175r_0003_1__1_.jpg,"['- Tạo phong cách của bạn với thiết kế góc bo tròn, mặt ngoài trơn tru và logo CORSAIR tỏa sáng bởi quạt RGB với 6 LED tùy chỉnh\r', '- Khoe trọn hệ thống của bạn với cửa sổ hông kính cường lực \r', '- Giấu nguồn và cáp nối khỏi tầm mắt, giúp lắp đặt hệ thống dễ dàng hơn bao giờ hết\r', '- Hỗ trợ tối đa 6 quạt 120mm hoặc 4 quạt 140mm, hoặc các radiators tới 360mm\r', '- Kết nối quạt RGB đi kèm với Bo mạch chủ Asus, Gigabyte hoặc MSI và sử dụng phần mềm để điều khiển màu LED\r']"
4,CSPT052,Vỏ Case Phanteks Eclipse P300  Tempered Glass (Mid Tower/Màu Đen) PH-EC300PTG_BK ,24 tháng,1799000,1459000,img/CASE/250_48639_case_phanteks_eclipse_p300_mid_tower_tempered_glass_black_ph_ec300ptg_bk_1.jpg,"['- Đi kèm đầy đủ lọc bụi\r', '- Hỗ trợ GPU dài tối đa 330mm\r', '- Hỗ trợ nguồn kích cỡ tiêu chuẩn\r', '- Đi kèm 1 x Quạt Phanteks 120mm\r', '- Đèn led RGB và Led gầm 10 màu\r']"
5,CSCM158,Vỏ Case Cooler Master MasterBox MB511 Black Trim (Mid Tower/Màu đen),12 tháng,1459000,1299000,img/CASE/250_52482_v____case_cooler_master_masterbox_mb511_black_trim__mid_tower_m__u___en__0000_1__3_.jpg,"['- Mặt trước thiết kế dạng lưới tối ưu lượng gió cho case\r', '- Khe hút gió bố trí 2 bên hông mặt trước\r', '- Kích thước bên trong rộng rãi, hỗ trợ tới 6 quạt cho tản nhiệt nước\r', '- Hỗ trợ mainboard: ATX, Micro ATX, Mini ITX\r', '- Hỗ trợ tản nhiệt cao: 165mm\r']"
6,CSJE014,Vỏ Case Jetek 9311W (Mid Tower/Màu Trắng/Led RGB),24 tháng,799000,669000,img/CASE/250_45071_case_jetek_9311w_0000_1__3_.jpg,"['- Hỗ trợ mainboard: Mini-ITX, Micro-ATX, ATX\r', '- Cổng giao tiếp: USB3.0 × 1, USB2.0 × 2, Headphone × 1, Microphone × 1 (hỗ trợ HD Audio)\r', '- Hỗ trợ ổ 3.5"" x1, 2.5"" x2\r', '- Chiều dài VGA tối đa: 300mm\r', '- Chiều cao tản CPU tối đa: 160mm']"
7,CSCM152,Vỏ Case Cooler Master MasterBox MB511  ARGB (Mid Tower/Màu đen/Led ARGB/Mặt lưới),24 tháng,2499000,2099000,img/CASE/250_51626_mb511argb_gallery_05_image.jpg,"['- Hỗ trợ mainboard:ATX, Micro ATX, Mini ITX\r', '- Radiator lắp đặt tối đa: 1x360/1x240/1x120mm\r', '- Chiều cao tản nhiệt CPU tối đa: 165mm\r', '- Chiều dài VGA: 410mm']"
8,CSCS073,Vỏ Case Corsair  678C TG (Mid Tower/Màu Trắng),24 tháng,4649000,4299000,img/CASE/250_46891_case_corsair_678c_tg_white_0006_1__1_.jpg,"['- Thiết kế tối giản và gọn gàng với khung thép, với kính cường lực trong suốt bên cạnh để khoe trọn hệ thống của bạn\r', '- Vật liệu cách âm ở mặt hông, phía trước và nóc giúp hệ thống luôn êm ái, hoặc chuyển qua tấm lọc bụi đi kèm ở trên nóc để gia tăng khả năng làm mát\r', '- Hỗ trợ đủ khoảng trống cho radiator 360mm với thiết lập hút / đẩy ở mặt trước và trên nóc, radiator 280mm/240mm ở sàn và 140mm/120mm ở phía sau\r', '- Hỗ trợ tối đa tới 9 quạt 120mm hoặc 7 quạt 140mm cho khả năng làm mát mạnh mẽ\r', '- Đi kèm bộ điều tốc quạt PWM cho 2 quạt SP140 đi kèm và tối đa 4 quạt mở rộng. Giảm tốc độ quạt khi bạn cần yên tĩnh, hoặc tăng tốc khi muốn hiệu năng cao\r']"
9,CSNZ078,Vỏ Case NZXT H710 MATTE (Mid Tower/Màu Trắng),24 tháng,3529000,3399000,img/CASE/250_47663_case_nzxt_h710i_smart_case_matte_white_0006_1__1_.jpg,"['- Với USB 3.1 Gen 2 USB-C mặt trước, dễ dàng hơn để kết nối điện thoại, thiết bị lưu trữ tốc độ cao hoặc các thiết bị ngoại vi mới nhất cho máy tính của bạn\r', '- Thiết kế tối giản, hiện tại, khu vực đi dây mẫu mực và thiết kế mặt kính xuyên suốt giúp khoe trọn bộ hệ thống của bạn\r', '- Việc đi dây luôn rất tốn thời gian, chúng tôi đã thiết kế các rãnh với dây thít tích hợp sẵn để tối giản công sức cho việc này\r', '- Với 2 quạt Aer F120mm đi kèm giúp tối ưu luồng gió cùng mặt trước và nguồn đi kèm lọc bụi có thể tháo rời. Ngoài ra khay gắn mặt trước hỗ trợ radiator tới 280mm giúp đơn giản hóa việc lắp đặt tản nước all in one hoặc custom\r', '- Khay dựng dọc GPU tích hợp sẵn để đem lại luồng gió mới cho hệ thống của bạn']"
10,CSCS080,Vỏ Case Corsair 465X TG RGB (Mid Tower /Màu Đen) CC-9011188-WW,12 tháng,3999000,3459000,img/CASE/250_49183_case_corsair_465x_tg_rgb_black_0008_1__1_.jpg,"['- Khung bằng thép chắc chắn, bền bỉ được trang bị hai tấm kính cường lực trưng bày các bộ phận và quạt RGB của bạn, với các khe hở thông gió cho luồng khí dồi dào.\r', '- Hỗ trợ số lượng quạt lên đến 6x 120mm hoặc nhiều bộ tản nhiệt nước với kích thước lên tới 360mm.\r', '- Các khay ổ đĩa chứa tối đa hai ổ cứng 3,5 inch và hai ổ SSD 2,5 inch, với hai ổ cắm 2,5 inch bổ sung.\r', '- Bao gồm ba quạt CORSAIR LL120 RGB: Luồng khí mạnh lên tới 1.500 vòng / phút và 16 đèn LED RGB sống động trên mỗi quạt, với bảy cấu hình chiếu sáng iCUE được cài đặt sẵn đầy mê hoặc.\r', '- Kiểm soát hoàn toàn và đồng bộ hóa ánh sáng RGB của bạn với phần mềm iCUE Lighting Node CORE và CORSAIR iCUE đi kèm.\r']"
11,CSKE009,Vỏ Case  KENOO 2815 (Mid Tower/Màu Đen),24 tháng,329000,299000,img/CASE/250_50933_vo_case_kenoo_2815_mid_tower_mau_den_0002_1__1_.jpg,"['- Mẫu vỏ case với thiết kế đơn giản, giá thành hợp lý, phù hợp với các cỗ máy văn phòng\r', '- Hỗ trợ mainboard : ATX / M-ATX']"
12,CSCM156,Vỏ Case Cooler Master MasterCase H500P TG Mesh White ARGB (Mid Tower/Màu trắng/Led ARGB/Mặt lưới),12 tháng,4599000,4089000,img/CASE/250_51630_h500p_mesh_white_gallery_01_image.jpg,"['- Hỗ trợ mainboard: Mini ITX, Micro ATX, ATX, E-ATX (tối đa 12 x 10.7 inch)\r', '- Radiator lắp đặt tối đa: 2x280/360mm và 1 x 120/140mm\r', '- Chiều cao tản nhiệt CPU tối đa: 190mm\r', '- Chiều dài VGA: 412mm']"
