,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,CPUI363,"CPU Intel Core i9-10920X (3.5GHz turbo up to 4.6GHz, 12 nhân 24 luồng, 19.25MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,0,21399000,img/CPU/250_49436_hnc_intel_i9_10900x_right_facing_850x850.jpg,"['- CPU Core i thế hệ thứ 10 của Intel\r', '- 12 nhân & 24 luồng\r', '- Xung cơ bản: 3.5 GHz\r', '- Xung tối đa (boost): 4.6 GHz\r', '- Chạy tốt trên các mainboard socket 2066 \r']"
1,CPUI364,"CPU Intel Core i9-10940X (3.3GHz turbo up to 4.6GHz, 14 nhân, 28 luồng, 19.25 MB Cache, 165W) - Socket Intel LGA 2066)",24 tháng,0,23999000,img/CPU/250_49437_hnc_intel_i9_10900x_right_facing_850x850.jpg,"['- CPU Core i thế hệ thứ 10 của Intel\r', '- 14 nhân & 28 luồng\r', '- Xung cơ bản: 3.3 GHz\r', '- Xung tối đa (boost): 4.6 GHz\r', '- Chạy tốt trên các mainboard socket 2066 \r']"
2,CPUI307,"CPU Intel Core i9-9900X (3.5GHz turbo up to 4.4GHz, 10 nhân 20 luồng, 19.25MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,0,14399000,img/CPU/250_45079_hnc_intel_core_i9_xtreme_right_facing_850x850.jpg,"['- Socket: FCLGA2066\r', '- Số lõi/luồng: 10/20-Tần số cơ bản/turbo: 3.5/4.4 GHz\r', '- Bộ nhớ đệm: 19,5 MB\r', '- Mức tiêu thụ điện: 165 W']"
3,CPUI243,"CPU Intel Core i5-8400 (2.8GHz turbo up to 4.0GHz, 6 nhân 6 luồng, 9MB Cache, 65W) - Socket Intel LGA 1151 v2",36 tháng,0,4999000,img/CPU/250_53069_intel_core_i5_8400.jpg,"['- Dòng Core i thế hệ thứ 8 dành cho máy bàn của Intel\r', '- 6 nhân & 6 luồng\r', '- Xung nhịp: 2.8GHz (Cơ bản) / 4.0GHz (Boost)\r', '- Socket: LGA 1151v2\r', '- Đã kèm sẵn tản nhiệt từ hãng\r']"
4,CPUI316,"CPU Intel Core i9-9900KF (3.6GHz turbo up to 5.0GHz, 8 nhân 16 luồng, 16MB Cache, 95W) - Socket Intel LGA 1151-v2",24 tháng,12599000,11999000,img/CPU/250_45160_hnc_intel_i9_9900kf_right_facing_850x850.jpg,"['- Phiên bản cắt giảm đi nhân đồ họa tích hợp của 9900K\r', '- Số nhân: 8\r', '- Số luồng: 16\r', '- Tốc độ cơ bản: 3.6 GHz\r', '- Tốc độ tối đa: 5.0 GHz\r']"
5,CPUI302,"CPU Intel Xeon E-2136 (3.3 GHz turbo up to 4.5GHz, 6 nhân, 12 luồng, 12MB Cache, 80W) (Tray, No Fan) - Socket Intel LGA 1151-v2",24 tháng,0,7779000,img/CPU/250_44505_hnc_intel_xeon_e_2136_right_facing_850x850.jpg,"['- Dòng sản phẩm chuyên biệt dành cho máy trạm giá rẻ\r', '- Phù hợp cho các phần mềm render, thiết kế\r', '- 6 nhân & 12 luồng\r', '- Xung nhịp: 3.3 GHz (Cơ bản) / 4.5 GHz (Boost)\r', '- Socket: LGA 1151v2 (C246)\r']"
6,CPUI384,"CPU Intel Core i3-10100 (3.6GHz turbo up to 4.3Ghz, 4 nhân 8 luồng, 6MB Cache, 65W) - Socket Intel LGA 1200",24 tháng,3499000,3199000,img/CPU/250_52615_i3_10100_1000.jpg,"['- Dòng Core i3 thế hệ thứ 10 dành cho máy bàn của Intel\r', '- 4 nhân & 8 luồng\r', '- Xung nhịp: 3.6GHz (Cơ bản) / 4.3GHz (Boost)\r', '- Socket: LGA1200\r', '- Đã kèm sẵn tản nhiệt từ hãng\r']"
7,CPUI374,"CPU Intel Core i9-10900K (3.7GHz turbo up to 5.3GHz, 10 nhân 20 luồng, 20MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,0,13999000,img/CPU/250_52358_intel_i9_10900k.jpg,"['- Dòng Core i thế hệ thứ 10 dành cho máy bàn của Intel\r', '- 10 nhân & 20 luồng\r', '- Xung nhịp: 3.7GHz (Cơ bản) / 5.3GHz (Boost)\r', '- Socket: LGA1200\r', '- Không kèm sẵn tản nhiệt từ hãng\r']"
8,CPUI407,"CPU Intel Core i3-10100F (3.6GHz turbo up to 4.3Ghz, 4 nhân 8 luồng, 6MB Cache, 65W) - Socket Intel LGA 1200",24 tháng,2499000,2199000,img/CPU/250_55894_cpu_intel_core_i3_10100f.jpg,"['- Dòng Core i3 thế hệ thứ 10 dành cho máy bàn của Intel\r', '- 4 nhân & 8 luồng\r', '- Xung nhịp: 3.6GHz (Cơ bản) / 4.3GHz (Boost)\r', '- Socket: LGA1200\r', '- Đã kèm sẵn tản nhiệt từ hãng\r']"
9,CPUI375,"CPU Intel Core i9-10900KF (3.7GHz turbo up to 5.3GHz, 10 nhân 20 luồng, 20MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,0,12999000,img/CPU/250_52359_intel_i9_10900kf.jpg,"['- Dòng Core i thế hệ thứ 10 dành cho máy bàn của Intel\r', '- 10 nhân & 20 luồng\r', '- Xung nhịp: 3.7GHz (Cơ bản) / 5.3GHz (Boost)\r', '- Socket: LGA1200\r', '- Không kèm sẵn tản nhiệt từ hãng\r']"
10,CPUA227,"CPU AMD Ryzen 5 3600XT (3.8 GHz turbo upto 4.5GHz / 35MB / 6 Cores, 12 Threads / 95W / Socket AM4)",24 tháng,0,6389000,img/CPU/250_53799_3600xt.jpg,"['- Phiên bản 3600X cải tiến của AMD\r', '- 6 nhân & 12 luồng\r', '- Xung cơ bản: 3.8 GHz\r', '- Xung tối đa (boost): 4.5 GHz\r', '- Chạy tốt trên các bo mạch chủ B450 trở lên\r']"
11,CPUI329,"CPU Intel Core i7-9700 (3.0GHz turbo up to 4.7Ghz, 8 nhân 8 luồng, 12MB Cache, 65W) - Socket Intel LGA 1151-v2",24 tháng,8899000,8399000,img/CPU/250_48603_hnc_intel_i7_9700_right_facing_850x850.jpg,"['- Socket: 1151-v2\r', '- Tốc độ: 3.10 GHz up to 5.00 GHz (8nhân, 16 luồng)\r', '- Bộ nhớ đệm: 16MB\r', '- Nhân đồ họa tích hợp: Intel UHD Graphics 630']"
12,CPUI263,"CPU Intel Xeon Silver 4110 (2.1GHz turbo up to 3.0GHz, 8 nhân, 16 luồng, 11MB Cache, 85W) - Socket Intel LGA 3647",24 tháng,0,12999000,img/CPU/250_40825_hnc_intel_xeon_silver_right_facing_850x850.jpg,"['- Dòng sản phẩm chuyên biệt dành cho server/máy trạm\r', '- 8 nhân & 16 luồng\r', '- Xung nhịp: 2.1GHz (Cơ bản) / 3.0GHz (Boost)\r', '- Socket: LGA 3647\r', '- Hỗ trợ RAM ECC\r']"
13,CPUI391,"CPU Intel Core i9-10900 (2.8GHz turbo up to 5.2GHz, 10 nhân 20 luồng, 20MB Cache, 65W) - Socket Intel LGA 1200",24 tháng,12899000,12299000,img/CPU/250_52654_intel_i9_10900.jpg,"['- Dòng Core i thế hệ thứ 10 dành cho máy bàn của Intel\r', '- 10 nhân & 20 luồng\r', '- Xung nhịp: 2.8GHz (Cơ bản) / 5.2GHz (Boost)\r', '- Socket: LGA1200\r', '- Đã tích hợp sẵn iGPU']"
14,CPUI233,"CPU Intel Core i3-7100 (3.9GHz, 2 nhân  4 luồng, 3MB Cache, 51W) - Socket Intel LGA 1151",24 tháng,2899000,2599000,img/CPU/250_35231_hnc_intel_i3_7100_right_facing_850x850.jpg,"['- 2 nhân & 4 luồng\r', '- Xung nhịp: 3.9GHz (Tối đa)\r', '- Socket: LGA1151\r', '- Đã kèm sẵn tản nhiệt từ hãng\r', '- Đã tích hợp sẵn iGPU']"
15,CPUA201,"CPU AMD Ryzen 7 2700 (3.2GHz turbo up to 4.1GHz, 8 nhân 16 luồng, 16MB Cache, 65W) - Socket AMD AM4",24 tháng,5599000,4599000,img/CPU/250_42103_hnc_ryzen_7_2700_right_facing_850x850.jpg,"['- Phiên bản AMD Ryzen 7 2700 có 8 nhân (16 luồng) cho hiệu năng đa nhiệm cao hơn nhiều thế hệ trước. Ngoài ra dòng CPU này có khả năng OC cao cấp càng tăng cường thêm hiệu suất cho hệ thống. \r', '- Hoàn toàn tương thích với các hệ thống sử dụng thế hệ Chipset thế hệ trước: A320. B350,X370.\r', '- Sản phẩm này phù hợp các hệ thống máy Gaming, Stream, giải trí Hi-End cao cấp. Đây là dòng CPU đa nhân, đa nhiệm có mức xung nhịp cao phù hợp các hệ thống máy WORKSTATION như dựng hình 3D (3DS MAX, MAYA, Blender, Sketchup...), Render 3D, dựng phim (Adobe Premiere, After Effect, Sony Vegas, Corel Studio...), ứng dụng biên tập ảnh (Photoshop, Lightroom...) và các ứng dụng khác...']"
