Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
CPUI363,"CPU Intel Core i9-10920X (3.5GHz turbo up to 4.6GHz, 12 nhân 24 luồng, 19.25MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,0,21399000,img/CPU/250_49436_hnc_intel_i9_10900x_right_facing_850x850.jpg,- CPU Core i thế hệ thứ 10 của Intel.- 12 nhân & 24 luồng.- Xung cơ bản: 3.5 GHz.- Xung tối đa (boost): 4.6 GHz.- Chạy tốt trên các mainboard socket 2066 .
CPUI364,"CPU Intel Core i9-10940X (3.3GHz turbo up to 4.6GHz, 14 nhân, 28 luồng, 19.25 MB Cache, 165W) - Socket Intel LGA 2066)",24 tháng,0,23999000,img/CPU/250_49437_hnc_intel_i9_10900x_right_facing_850x850.jpg,- CPU Core i thế hệ thứ 10 của Intel.- 14 nhân & 28 luồng.- Xung cơ bản: 3.3 GHz.- Xung tối đa (boost): 4.6 GHz.- Chạy tốt trên các mainboard socket 2066 .
CPUI307,"CPU Intel Core i9-9900X (3.5GHz turbo up to 4.4GHz, 10 nhân 20 luồng, 19.25MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,0,14399000,img/CPU/250_45079_hnc_intel_core_i9_xtreme_right_facing_850x850.jpg,"- Socket: FCLGA2066.- Số lõi/luồng: 10/20-Tần số cơ bản/turbo: 3.5/4.4 GHz.- Bộ nhớ đệm: 19,5 MB.- Mức tiêu thụ điện: 165 W."
CPUI243,"CPU Intel Core i5-8400 (2.8GHz turbo up to 4.0GHz, 6 nhân 6 luồng, 9MB Cache, 65W) - Socket Intel LGA 1151 v2",36 tháng,0,4999000,img/CPU/250_53069_intel_core_i5_8400.jpg,- Dòng Core i thế hệ thứ 8 dành cho máy bàn của Intel.- 6 nhân & 6 luồng.- Xung nhịp: 2.8GHz (Cơ bản) / 4.0GHz (Boost).- Socket: LGA 1151v2.- Đã kèm sẵn tản nhiệt từ hãng.
CPUI316,"CPU Intel Core i9-9900KF (3.6GHz turbo up to 5.0GHz, 8 nhân 16 luồng, 16MB Cache, 95W) - Socket Intel LGA 1151-v2",24 tháng,12599000,11999000,img/CPU/250_45160_hnc_intel_i9_9900kf_right_facing_850x850.jpg,- Phiên bản cắt giảm đi nhân đồ họa tích hợp của 9900K.- Số nhân: 8.- Số luồng: 16.- Tốc độ cơ bản: 3.6 GHz.- Tốc độ tối đa: 5.0 GHz.
CPUI295,"CPU Intel Core i3-9100 (3.6GHz turbo up to 4.2GHz, 4 nhân 4 luồng, 6MB Cache, 65W) - Socket Intel LGA 1151-v2 ",24 tháng,3299000,3099000,img/CPU/250_44010_hnc_intel_i3_9100_right_facing_850x850.jpg,- Intel Core i3 9100.- Là sản phẩm dựa trên kiến trúc Coffee Lake Refresh thế hệ mới nhất.- Bộ vi xử lý này có tần số cơ bản là 3.7 GHz. Mức TDP 65W.- Hỗ trợ RAM DDR4 2400 / Dual Channel.
CPUI365,"CPU Intel Core i9-10980XE (3.0GHz turbo up to 4.6Ghz, 18 nhân 36 luồng, 24.75MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,0,28999000,img/CPU/250_49438_hnc_intel_i9_10980xe_right_face_850x850.jpg,- CPU Core i thế hệ thứ 10 của Intel.- 18 nhân & 36 luồng.- Xung cơ bản: 3.0 GHz.- Xung tối đa (boost): 4.4 GHz.- Chạy tốt trên các mainboard socket 2066 .
CPUI371,"CPU Intel Xeon Silver 4210 2.20 GHz / 13.75 MB / 10 Cores, 20 Threads / LGA3647 (TRAY)",12 tháng,0,13499000,img/CPU/250_53847_cpu_intel_xeon_silver.jpg,
CPUI387,"CPU Intel Pentium Gold G6400 (4.0GHz, 2 nhân 4 luồng, 4MB Cache, 58W) - Socket Intel LGA 1200)",24 tháng,0,1559000,img/CPU/250_52618_intel_g6400.jpg,- Dòng sản phẩm cơ bản đến từ Intel.- 2 nhân & 4 luồng.- Xung nhịp: 4.0GHz (Tối đa).- Socket: LGA1200.- Đã kèm sẵn tản nhiệt từ hãng.
CPUI393,"CPU Intel Core i7-10700 (2.9GHz turbo up to 4.8GHz, 8 nhân 16 luồng, 16MB Cache, 65W) - Socket Intel LGA 1200",24 tháng,9499000,8899000,img/CPU/250_52656_intel_core_i7_10700.jpg,- Dòng Core i7 thế hệ thứ 10 dành cho máy bàn của Intel.- 8 nhân & 16 luồng.- Xung nhịp: 2.9GHz (Cơ bản) / 4.8GHz (Boost).- Socket: LGA1200.- Đã kèm sẵn tản nhiệt từ hãng.
