,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,FANC745,Tản Nhiệt Khí CoolerMaster Hyper 212 Spectrum ,24 tháng,999000,749000,img/FAN/250_52775_coolermaster_hyper_212_spectrum__3_.jpg,"['- Hỗ trợ Socket: Intel® LGA 2066/2011-v3 / 2011 / 1200 /1151 / 1150 / 1155 / 1156 / 1366 / 775\r', '- AMD AM4/AM3+ / AM3 / AM2+ / AM2 / FM2+ / FM2 / FM1 \r', '- 4 ống dẫn nhiệt với các lá tản nhiệt nhôm\r', '- Trang bị quạt SF120R với đèn ARGB có hiệu ứng màu sắc vô cùng độc đáo và khả năng điều chỉnh tốc độ cho độ ồn thấp.']"
1,FANC771,Tản nhiệt khí Jonsbo CR-1100 Grey,6 tháng,1199000,1089000,img/FAN/250_54825_jonsbo_cr_1100_grey__2_.jpg,"['- Mẫu sản phẩm tản nhiệt với thiết kế độc đáo gồm đèn RGB ở quạt và logo RGB phát sáng trên nóc.\r', '- Công nghệ ống dẫn nhiệt tiếp xúc trực tiếp với bề mặt CPU - cho khả năng giải nhiệt nhanh chóng.\r', '- 2 quạt làm mát, cho lượng gió thổi qua lớn, tăng cường hiệu suất.\r', '- Tông màu xám đem lại vẻ đẹp cứng cáp và mạnh mẽ.']"
2,FANC772,Tản nhiệt khí Jonsbo CR-1100 Pink,6 tháng,1199000,1089000,img/FAN/250_54826__jonsbo_cr_1100_pink_0005_1__1_.jpg,"['- Mẫu sản phẩm tản nhiệt với thiết kế độc đáo gồm đèn RGB ở quạt và logo RGB phát sáng trên nóc.\r', '- Công nghệ ống dẫn nhiệt tiếp xúc trực tiếp với bề mặt CPU - cho khả năng giải nhiệt nhanh chóng.\r', '- 2 quạt làm mát, cho lượng gió thổi qua lớn, tăng cường hiệu suất.\r', '- Tông màu trắng hồng kết hợp cho phong cách cực kỳ độc đáo.']"
3,FANC448,Tản nhiệt CPU Cooler Master Hyper 212 LED,24 tháng,849000,689000,img/FAN/250_33693_tan_nhiet_cpu_cooler_master_hyper_212_led_0004_1.jpg,"['- Bốn ống dẫn nhiệt công nghệ Direct Contact giữa CPU và bộ tản nhiệt\r', '- Có thể nâng cấp lên 2 quạt tản nhiệt chỉ bằng thao tác ráp ngàm kẹp quạt tản linh động\r', '- Quạt PWM khổ rộng với thiết kế cánh quạt độc quyền và đèn LED đỏ\r', '- Bộ chân tản đa nền tảng dành cho socket bo mạch chủ Intel và AMD\r', '- Thiết kế ngàm kẹp quạt tối ưu giúp quá trình lắp đặt dễ dàng']"
4,FANC714,Quạt tản nhiệt khí cho CPU GAMEMAX Gamma 500 - Màu đỏ,24 tháng,599000,469000,img/FAN/250_49846_quat_tan_nhiet_khi_cho_cpu_gamemax_gamma_500_mau_do_0004_5.jpg,"['- Công nghệ ống đồng tiếp xúc trực tiếp cho hiệu quả tản nhiệt cao\r', '- Mức giá phải chăng, phù hợp để thay thế cho tản stock']"
5,FANC720,Tản nhiệt khí Jonsbo CR-701,24 tháng,749000,649000,img/FAN/250_51068_jonsbo_cr701_1.jpg,"['- Chiều cao chỉ 75mm, phù hợp với các hệ thống mini, htpc\r', '- 5 ống dẫn nhiệt tiếp xúc trực tiếp\r', '- Quạt với đèn RGB kích thước 120mm lưu lượng gió lớn, giải nhiệt nhanh']"
6,FANC770,Tản nhiệt khí Jonsbo CR-2000 GT,6 tháng,1059000,959000,img/FAN/250_54824__jonsbo_cr_2000_0002_1__3_.jpg,"['- Mẫu sản phẩm tản nhiệt với thiết kế độc đáo gồm đèn RGB ở quạt và logo RGB phát sáng trên nóc.\r', '- Công nghệ ống dẫn nhiệt tiếp xúc trực tiếp với bề mặt CPU - cho khả năng giải nhiệt nhanh chóng.\r', '- 2 quạt làm mát, cho lượng gió thổi qua lớn, tăng cường hiệu suất.\r', '- Thiết kế dạng tháp đôi, cho hiệu quả làm mát tối đa.']"
7,FANA483,Fan Case Freezemod Mega Digital RGB ( 5 fan + 2x30cm LED ),24 tháng,1099000,999000,img/FAN/250_44164_fan_case_freezemod_mega_digital_rgb_5fan2x30cm_led_1.jpg,['']
8,FANA553,Bộ 3 quạt máy tính 120mm Corsair QL120 PRO RGB kèm Node CORE - NEW (CO-9050098-WW),24 tháng,3499000,3249000,img/FAN/250_51515_bo_3_quat_may_tinh_120mm_corsair_ql120_pro_rgb_kem_node_core_new_co_9050098_ww_4.jpg,"['- Kích thước: 120 x 120 x 25mm\r', '- Tốc độ quạt: 1500 +/- 10% RPM\r', '- Lưu lượng gió: 41.8 CFM\r', '- Độ ồn: 26 dbA\r', '- Đèn LED: RGB']"
9,FANA574,Fan Case Vitra Clio Led RGB  ,24 tháng,89000,59000,img/FAN/250_55671_fan_case_vitra_clio_led_rgb_1.jpg,['']
10,KEOT038,Keo Tản Nhiệt Cooler Master MasterGel,24 tháng,0,159000,img/FAN/250_45418_keo_tan_nhiet_cooler_master_mastergel_0001_2.jpg,['']
11,DENL252,Bộ đèn led RGB 5V Digital Rainbow ( 2 x 30cm LED + Controller ) Sync main R2.0,24 tháng,399000,349000,img/FAN/250_47541_46190_rgb_led_strip.jpg,"['- Bộ đèn led đi kèm controller có thể tuỳ chỉnh thông qua điều khiển\r', '- Có thể đồng bộ thông qua cổng 3 pin ARGB 5V trên mainboard']"
12,PCMD043,Trọn bộ tản nhiệt nước PC CoolerMaster H500M HT-38 SCARLETT RED (Lắp ráp theo yêu cầu),24 tháng,0,25606000,img/FAN/250_45475_modding_pc_coolermaster_h500m_ht_38_scarlett_red_1.jpg,"['- Tản nhiệt nước Custom là giải pháp làm mát cao cấp nhất giành cho các bộ máy tính Desktop PC, tăng khả năng làm mát cho hệ thống từ 20-50%, ngoài ra giảm độ ồn tới 50% do diện tích toả nhiệt lớn cùng vẻ đẹp khó cưỡng là những lý do mà những hệ thống PC Gaming, Workstation ngày càng sử dụng tản nhiệt nước nhiều hơn \r', '- Với các linh kiện được lựa chọn kỹ càng, đến từ các thương hiệu hàng đầu thế giới, những hệ thống Modding PC Made by HANOICOMPUTER đảm bảo hoạt động bền bỉ và đem lại vẻ đẹp độc đáo cho hệ thống của bạn \r', '- Lưu ý: \r', '- - Khách hàng có thể tuỳ chọn màu nước theo ý thích \r', '- - Khách hàng có thể tuỳ biến đường nước theo ý thích, chi phí có thể tăng hoặc giảm tuỳ thuộc đường nước khách hàng yêu cầu  \r']"
13,FANC600,Tản nhiệt Nước Corsair Hydro Series H100i Pro RGB CW-9060033-WW,24 tháng,0,3159000,img/FAN/250_43646_tan_nhiet_nuoc_corsair_hydro_series_h100i_pro_rgb_cw_9060033_ww_0006_7.jpg,['']
14,FANC758,Tản nhiệt nước CPU Cooler Master MasterLiQuid ML240L ARGB V2,24 tháng ,2159000,1929000,img/FAN/250_53331_cpu_cooler_master_masterliquid_ml240l_argb_v2_1__1_.jpg,"['- Thiết kế pump lồng hơi kép thế hệ mới\r', '- Bề mặt tiếp xúc lớn trên két nước\r', '- Quạt SickleFlow 120 ARGB mới\r', '- Gia cố bọc dây chống rỉ nước']"
15,TOOL047,EK-D-RGB 6-Way Splitter Cable,24 tháng,0,309000,img/FAN/250_49612_ek_d_rgb_6_way_splitter_cable_1.jpg,['- EK-D-RGB 6-Way Splitter Cable cho phép người dùng kết nối tối đa sáu sản phẩm Led D-RGB kỹ thuật số với một bo mạch chủ hoặc bộ điều khiển D-RGB duy nhất để họ có thể đồng bộ hóa tất cả các sản phẩm D-RGB của họ']
16,PCMD002,Trọn bộ tản nhiệt nước PC Corsair 900D (Lắp ráp theo yêu cầu),24 tháng,0,48640000,img/FAN/250_41667_modding_pc_900d_st_01_1.jpg,"['- Tản nhiệt nước Custom là giải pháp làm mát cao cấp nhất giành cho các bộ máy tính Desktop PC, tăng khả năng làm mát cho hệ thống từ 20-50%, ngoài ra giảm độ ồn tới 50% do diện tích toả nhiệt lớn cùng vẻ đẹp khó cưỡng là những lý do mà những hệ thống PC Gaming, Workstation ngày càng sử dụng tản nhiệt nước nhiều hơn \r', '- Với các linh kiện được lựa chọn kỹ càng, đến từ các thương hiệu hàng đầu thế giới, những hệ thống Modding PC Made by HANOICOMPUTER đảm bảo hoạt động bền bỉ và đem lại vẻ đẹp độc đáo cho hệ thống của bạn \r', '- Lưu ý: \r', '- - Khách hàng có thể tuỳ chọn màu nước theo ý thích \r', '- - Khách hàng có thể tuỳ biến đường nước theo ý thích, chi phí có thể tăng hoặc giảm tuỳ thuộc đường nước khách hàng yêu cầu  \r']"
