Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
FANC448,Tản nhiệt CPU Cooler Master Hyper 212 LED,24 tháng,849000,689000,img/FAN/250_33693_tan_nhiet_cpu_cooler_master_hyper_212_led_0004_1.jpg,- Bốn ống dẫn nhiệt công nghệ Direct Contact giữa CPU và bộ tản nhiệt.- Có thể nâng cấp lên 2 quạt tản nhiệt chỉ bằng thao tác ráp ngàm kẹp quạt tản linh động.- Quạt PWM khổ rộng với thiết kế cánh quạt độc quyền và đèn LED đỏ.- Bộ chân tản đa nền tảng dành cho socket bo mạch chủ Intel và AMD.- Thiết kế ngàm kẹp quạt tối ưu giúp quá trình lắp đặt dễ dàng.
FANC745,Tản Nhiệt Khí CoolerMaster Hyper 212 Spectrum ,24 tháng,999000,749000,img/FAN/250_52775_coolermaster_hyper_212_spectrum__3_.jpg,- Hỗ trợ Socket: Intel® LGA 2066/2011-v3 / 2011 / 1200 /1151 / 1150 / 1155 / 1156 / 1366 / 775.- AMD AM4/AM3+ / AM3 / AM2+ / AM2 / FM2+ / FM2 / FM1 .- 4 ống dẫn nhiệt với các lá tản nhiệt nhôm.- Trang bị quạt SF120R với đèn ARGB có hiệu ứng màu sắc vô cùng độc đáo và khả năng điều chỉnh tốc độ cho độ ồn thấp..
FANC771,Tản nhiệt khí Jonsbo CR-1100 Grey,6 tháng,1199000,1089000,img/FAN/250_54825_jonsbo_cr_1100_grey__2_.jpg,"- Mẫu sản phẩm tản nhiệt với thiết kế độc đáo gồm đèn RGB ở quạt và logo RGB phát sáng trên nóc..- Công nghệ ống dẫn nhiệt tiếp xúc trực tiếp với bề mặt CPU - cho khả năng giải nhiệt nhanh chóng..- 2 quạt làm mát, cho lượng gió thổi qua lớn, tăng cường hiệu suất..- Tông màu xám đem lại vẻ đẹp cứng cáp và mạnh mẽ.."
FANC772,Tản nhiệt khí Jonsbo CR-1100 Pink,6 tháng,1199000,1089000,img/FAN/250_54826__jonsbo_cr_1100_pink_0005_1__1_.jpg,"- Mẫu sản phẩm tản nhiệt với thiết kế độc đáo gồm đèn RGB ở quạt và logo RGB phát sáng trên nóc..- Công nghệ ống dẫn nhiệt tiếp xúc trực tiếp với bề mặt CPU - cho khả năng giải nhiệt nhanh chóng..- 2 quạt làm mát, cho lượng gió thổi qua lớn, tăng cường hiệu suất..- Tông màu trắng hồng kết hợp cho phong cách cực kỳ độc đáo.."
FANC706,Tản nhiệt khí Raijintek MYA RBW,24 tháng,0,1449000,img/FAN/250_49287_tan_nhiet_khi_raijintek_mya_rbw_0002_3.jpg,"- 6 ống đồng tiếp xúc trực tiếp, đem tới hiệu năng vượt trội.- Nước sơn màu đen đem lại cảm giác sang trọng.- Thích hợp đèn ARGB, có thể đồng bộ với mainboard.- Sử dụng quạt mỏng tiết kiệm không gian hệ thống.- Tương thích với các hệ thống Intel và AMD trên thị trường."
HATL712,Tản Nhiệt CPU Aardwolf GH-V120 (HÀNG THANH LÝ),24 tháng,689000,299000,img/FAN/250_54819_50784_aardwolf_gh_v120_3.jpg,- Ống dẫn nhiệt tiếp xúc trực tiếp với CPU.- Cánh quạt thiết kế dạng vây cá mập.- Tương thích với hầu hết các socket hiện có trên thị trường gồm Intel và AMD.
FANA443,Fan Case Corsair LL140 RGB 140mm Dual Light Loop RGB LED 2 Fan Pack with Lighting Node PRO,24 tháng,2689000,2499000,img/FAN/250_38917_fan_case_corsair_ll140_rgb_140mm_dual_light_loop_rgb_led_2_fan_pack_with_lighting_node_pro_0000_1__14_.jpg,- Kích thước: 140mm x 25mm.- Vòng quay/phút: 600-1300.- Điện áp hoạt động: 7V - 13.2V.- Luồng khí: 51.5 CFM.- Độ ồn: 25 dBA.
FANA529,Fan Case Corsair LL120 RGB 120mm Dual Light Loop RGB LED 3 Fan Pack with Lighting Node PRO - White,24 tháng,0,2899000,img/FAN/250_47891_fan_case_corsair_ll120_rgb_120mm_dual_light_loop_rgb_led_3_fan_pack_with_lighting_node_pro_white_0009_1__1_.jpg,"- Fan RGB led ring độc đáo, tuỳ chỉnh 16.8 triệu màu.- Số vòng quay: 600 RPM - 1500 RPM.- Thiết kế phù hợp với mọi loại case..- Kích thước quạt: 120mm x 25mm..- Tông màu trắng độc đáo."
FANA559,EK-Vardar EVO 120ER D-RGB (500-2200 rpm),12 tháng,899000,799000,img/FAN/250_53057_ek_vardar_evo_120er_d_rgb__500_2200_rpm__0001_1__5_.jpg,"- Sản phẩm quạt đến từ thương hiệu nổi tiếng EKWB với chất lượng vượt trội, hiệu suất cao và áp suất gió kinh ngạc.- Quạt EK-Vardar EVO 120ER D-RGB đặc biệt phù hợp cho các hệ thống tản nhiệt nước Custom..- Dựa trên nguyên mẫu dòng quạt Vardar EVO ra mắt lần đầu vào năm 2014. Nay mẫu sản phẩm này còn được trang bị thêm đèn led D - RGB cho hiệu ứng ánh sáng nổi bật..- Toàn bộ đèn led và tốc độ quạt đều có thể điều chỉnh dễ dàng thông qua các phần mềm của mainboard thông dụng. Chân điều tốc PWM cho khả năng vận hành vô cùng êm ái.."
KEOT004,Kem tản nhiệt Deepcool Z3 (Xi lanh). ,24 tháng,0,109000,img/FAN/250_802_kem_tan_nhiet_deepcool_z3_xi_lanh.png,- - Độ dẫn nhiệt tốt hơn .- - Không dễ cháy. .- - Hiệu năng tốt trong tầm giá .- - Không chứa bất kỳ kim loại hoặc vật liệu dẫn điện khác..
KEOT053,Keo Tản Nhiệt Arctic MX-4 - 8Gam,24 tháng,299000,199000,img/FAN/250_54978_keo_tan_nhiet_arctic_mx_4_8gam.jpg,
