,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,HDWD115,"Ổ cứng HDD Western Caviar Red 1TB 3.5 inch 5400RPM, SATA3 6Gb/s, 64MB Cache",24 tháng,1999000,1599000,img/HDD/250_12824_hdd_western_caviar_red_1tb_3_5_inch_5400rpm.jpg,"['- Được thiết kế đặc biệt để sử dụng trong các hệ thống NAS tối đa 8 khay\r', '- Hỗ trợ tốc độ tải công việc lên tới 180 TB / năm.\r', '- Hệ thống NAS phù hợp cho văn phòng nhỏ và sử dụng tại nhà liên tục 24/7']"
1,HDSE193,"Ổ cứng HDD Seagate SkyHawk AI 10TB 3.5 inch 7200RPM, SATA3 6GB/s - (ST10000VE0008)",24 tháng,10500000,8600000,img/HDD/250_47157_ac_seagate_skyhawk_ai_10tb_us_2.jpg,"['- Ổ cứng chuyên dụng cho các hệ thống Camera\r', '- Hỗ trợ hệ thống giám sát tối ưu 24/7\r', '- Trang bị bộ cảm biến duy trì hiệu năng hoạt động\r', '- Hỗ trợ phát dẫn ATA\r', '- Tiêu thụ điện năng rất thấp']"
2,HDSE115,"Ổ cứng HDD Seagate Skyhawk Surveillance 6TB 3.5 inch 5400RPM, SATA 6Gb/s, 256MB Cache (ST6000VX001 )",24 tháng,4599000,4449000,img/HDD/250_35133_hdd_seagate_skyhawk_surveillance_6tb5400_.jpg,"['- Ổ cứng chuyên dụng cho các hệ thống Camera\r', '- Hỗ trợ hệ thống giám sát tối ưu 24/7\r', '- Trang bị bộ cảm biến duy trì hiệu năng hoạt động\r', '- Hỗ trợ phát dẫn ATA\r', '- Tiêu thụ điện năng rất thấp']"
3,HDWD296,"Ổ cứng HDD Western Enterprise Ultrastar DC HC310 6TB 3.5 inch SATA3 6GB/s 7200RPM, 256MB Cache - (HUS726T6TALE6L4)",24 tháng,7380000,4999000,img/HDD/250_48616_____c___ng_hdd_western_enterprise_ultrastar_dc_hc310_6tb.jpg,"['- Công nghệ chống rung RVS cho hiệu suất mạnh mẽ trong môi trường nhiều ổ đĩa.\r', '- Thiết kế bền bỉ đáng tin cậy, đã được chứng minh.\r', '- SATA 6 Gb/s với 512 byte (512n) hỗ trợ các ứng dụng doanh nghiệp cũ.']"
4,HDWD332,Ổ cứng HDD WD Red 10TB 3.5 Inch 5400RPM Sata3 6Gb/s 256MB Cache,24 tháng,8999000,8599000,img/HDD/250_52282_wd_red_10tb.jpg,"['- Ổ cứng mạng chuyên dụng của WD\r', '- Dung lượng: 10TB\r', '- Số vòng quay: 5400rpm\r', '- Cache: 256MB']"
5,HDWD173,"Ổ cứng HDD Western Caviar Blue 1TB 3.5 inch 7200RPM, SATA3 6Gb/s, 64MB Cache",24 tháng,1399000,989000,img/HDD/250_50317_hdd_western_caviar_blue_1tb_3_5_inch.jpg,"['- Dung lượng: 1TB\r', '- Tốc độ vòng quay: 7200rpm\r', '- Bộ nhớ đệm: 64MB Cache\r', '- Kích thước: 3.5”\r', '- Chuẩn kết nối: SATA 3']"
6,HDWD181,"Ổ cứng HDD Western Caviar Blue 4TB 3.5 inch 5400RPM, SATA3 6Gb/s, 64MB Cache",24 tháng,3198000,2599000,img/HDD/250_32826_____c___ng_hdd_western_caviar_blue_4tb.jpg,"['- Dung lượng: 4TB\r', '- Tốc độ vòng quay: 5400rpm\r', '- Bộ nhớ đệm: 64MB Cache\r', '- Kích thước: 3.5”\r', '- Chuẩn kết nối: SATA 3']"
7,HDWD305,"Ổ cứng HDD Western Caviar Black 6TB 3.5 inch 7200RPM, SATA3 6Gb/s, 256MB Cache - (WD6003FZBX)",24 tháng,7399000,6599000,img/HDD/250_48891_____c___ng_hdd_western_caviar_black_6tb.jpg,"['- Ổ cứng SATA 3,5 inch hiệu năng cao WD Caviar Black có tốc độ vòng quay 7200 RPM, bộ nhớ cache 256 MB và giao diện SATA 6 Gb/s cho khả năng điện toán tối ưu.\r', '- Kiến trúc điện tử hiệu suất cao có bộ xử lý kép và bộ nhớ cache lớn hơn, nhanh hơn cho tốc độ đọc và ghi tối đa.\r', '- StableTrac Trục động cơ được bảo đảm ở cả hai đầu để giảm rung do hệ thống và ổn định các đĩa để theo dõi chính xác, trong các hoạt động đọc và ghi.']"
8,HDWD297,"Ổ cứng HDD Western Enterprise Ultrastar DC HC320 8TB 3.5 inch SATA3 6GB/s 7200RPM, 256MB Cache - (HUS728T8TALE6L4)",24 tháng,9360000,6399000,img/HDD/250_48617_____c___ng_hdd_western_enterprise_ultrastar_dc_hc320_8tb_3_5_inch.jpg,"['- Công nghệ chống rung RVS cho hiệu suất mạnh mẽ trong môi trường nhiều ổ đĩa.\r', '- Thiết kế bền bỉ đáng tin cậy, đã được chứng minh.\r', '- SATA 6 Gb/s với 512 byte (512n) hỗ trợ các ứng dụng doanh nghiệp cũ.']"
9,HDWD314,HDD WD Gold (2TB/3.5/SATA 3/128MB Cache/7200RPM) (WD2005FBYZ),24 tháng,3400000,2999000,img/HDD/250_51401_332_o_cung_server_2tb_wd_gold_wd2005fbyz.jpg,"['- Ổ cứng WD Gold 2TB chuyên dụng cho server -datacenter quy mô lớn.\r', '- Dòng gắn trong 3.5 inch tốc độ quay 7200RPM,\r', '- bộ đệm 128MB cache, tốc độ max 201 MB/s.']"
10,HDSE094,"Ổ cứng HDD Seagate 4TB 3.5 inch 5400RPM, SATA3 6GB/s, 256MB Cache - (ST4000DM004)",24 tháng,3198000,2599000,img/HDD/250_25631_hdd_seagate_4tb_3_5_inch_5400rpm.jpg,"['- Dung lượng: 2TB\r', '- Tốc độ quay: 5400rpm\r', '- Bộ nhớ Cache: 256Mb\r', '- Chuẩn giao tiếp: SATA3\r', '- Kích thước: 3.5Inch']"
11,HDWD298,"Ổ cứng HDD Western Enterprise Ultrastar DC HC510 10TB 3.5 inch SATA3 6GB/s 7200RPM, 256MB Cache - (HUH721010ALE604)",24 tháng,11700000,7799000,img/HDD/250_48618_____c___ng_hdd_western_enterprise_ultrastar_dc_hc510_10tb_3_5_inch.jpg,"['- Công nghệ chống rung RVS cho hiệu suất mạnh mẽ trong môi trường nhiều ổ đĩa.\r', '- Thiết kế bền bỉ đáng tin cậy, đã được chứng minh.\r', '- SATA 6 Gb/s với 512 byte (512n) hỗ trợ các ứng dụng doanh nghiệp cũ.']"
12,HDWD182,"Ổ cứng HDD Western Caviar Black 4TB 3.5 inch 7200RPM, SATA3 6Gb/s, 256MB Cache",24 tháng,5698000,4949000,img/HDD/250_34548_hdd_western_caviar_black_4tb.jpg,"['- Ổ cứng SATA 3,5 inch hiệu năng cao WD Caviar Black có tốc độ vòng quay 7200 RPM, bộ nhớ cache 256 MB và giao diện SATA 6 Gb/s cho khả năng điện toán tối ưu.\r', '- Kiến trúc điện tử hiệu suất cao có bộ xử lý kép và bộ nhớ cache lớn hơn, nhanh hơn cho tốc độ đọc và ghi tối đa.\r', '- StableTrac Trục động cơ được bảo đảm ở cả hai đầu để giảm rung do hệ thống và ổn định các đĩa để theo dõi chính xác, trong các hoạt động đọc và ghi.']"
13,HDSE148,"Ổ cứng HDD Seagate SkyHawk SURVEILLANCE 3TB 3.5 inch 5400RPM, SATA3 6GB/s, 64MB Cache ",24 tháng,2550000,2399000,img/HDD/250_35131_hdd_seagate_skyhawk_surveillance_3tb.jpg,"['- Ổ cứng chuyên dụng cho các hệ thống Camera\r', '- Hỗ trợ hệ thống giám sát tối ưu 24/7\r', '- Trang bị bộ cảm biến duy trì hiệu năng hoạt động\r', '- Hỗ trợ phát dẫn ATA\r', '- Tiêu thụ điện năng rất thấp']"
14,HDSE149,"Ổ cứng HDD Seagate SkyHawk SURVEILLANCE 6TB 3.5 inch 7200RPM, SATA3 6GB/s, 256MB Cache ",24 tháng,6500000,5499000,img/HDD/250_35132_hdd_seagate_skyhawk_surveillance_6tb5400_.jpg,"['- Ổ cứng chuyên dụng cho các hệ thống Camera\r', '- Hỗ trợ hệ thống giám sát tối ưu 24/7\r', '- Trang bị bộ cảm biến duy trì hiệu năng hoạt động\r', '- Hỗ trợ phát dẫn ATA\r', '- Tiêu thụ điện năng rất thấp']"
15,HDWD150,"Ổ cứng HDD Western Purple 4TB 3.5 inch 5400RPM, SATA3 6Gb/s, 64MB Cache",24 tháng,3099000,2889000,img/HDD/250_27916_____c___ng_hdd_western_purple_4tb_3_5_inch_5400rpm.jpg,"['- Ổ cứng gắn trong Western Purple 4TB chuyên dụng cho thiết bị giám sát, đầu ghi camera, thích hợp sử dụng cho các cá nhân, văn phòng hoặc các doanh nghiệp với hệ thống lên đến 64 camera. Thông số kỹ thuật: dung lượng 4TB; giao tiếp SATA 3 (6Gb/s max); 64MB Cache, tốc độ quay 5400RPM. Công nghệ AllFrame tối ưu hóa, cải thiện hiệu suất, giảm tỉ lệ lỗi/khung.\r', '- HDD WD PURPLE 4TB WD là dòng ổ cứng sản xuất ra để chuyên dùng cho thiết bị ghi hình Camera giám sát, chạy rất êm, giải nhiệt tốt bằng 70% so với ổ cứng PC thông thường, thích hợp trong hệ thống camera giám sát tại nhà và doanh nghiệp vừa và nhỏ.']"
16,HDSE144,"Ổ cứng HDD Seagate FireCuda 1TB 3.5 inch 7200RPM, SATA3 6GB/s, 64MB Cache ",24 tháng,1999000,1799000,img/HDD/250_34713_hdd_seagate_firecuda_1tb_3_5_inch_7200rpm.jpg,"['- Dung lượng: 1TB\r', '- Giao tiếp: SATA III 6GB/s\r', '- Bộ nhớ đệm: 8192MB Cache\r', '- Tốc độ vòng quay: 7200rpm']"
17,HDWD313,HDD WD Gold (1TB/3.5/SATA 3/128MB Cache/7200RPM) (WD1005FBYZ),24 tháng,2500000,2099000,img/HDD/250_51399_331_o_cung_server_1tb_wd_gold_wd1005fbyz.jpg,"['- Ổ cứng WD Gold 1TB chuyên dụng cho server -datacenter quy mô lớn.\r', '- Dòng gắn trong 3.5 inch tốc độ quay 7200RPM,\r', '- bộ đệm 128MB cache, tốc độ max 201 MB/s.']"
18,HDWD315,HDD WD Gold (4TB/3.5 inch/SATA 3/256MB Cache/7200RPM) (WD4003FRYZ),24 tháng,5000000,4499000,img/HDD/250_50744_hdd_wd_gold_4tb.jpg,"['- Ổ cứng WD Gold 4TB chuyên dụng cho server -datacenter quy mô lớn.\r', '- Dòng gắn trong 3.5 inch tốc độ quay 7200RPM,\r', '- bộ đệm 128MB cache, tốc độ max 201 MB/s.']"
