,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,KBAS023,Bàn phím Asus ROG Strix Scope Blue switch (XA02 (USB/RGB/Đen),24 tháng,3999000,3589000,img/KEY_BOARD/250_52946_01_rog_strix_scope_3d_6_aura_silver_keycap.png,"['- Bàn phím Asus ROG Strix Scope Blue switch\r', '- Lý tưởng cho các game FPS: phím Ctrl lớn gấp đôi, thiết kế công thái học giúp giảm nhấn phím nhầm để tăng độ chính xác FPS\r', '- Phím chuyển đổi nhanh: Chuyển đổi tức thì giữa phím chức năng và phím đa phương tiện\r', '- Phím ẩn: Nhấn để ẩn mọi ứng dụng và tắt âm thanh để vào chế độ riêng tư; nhấn lần nữa để hiển thị trở lại\r', '- Công tắc Cherry MX: Công tắc phím được sản xuất tại Đức và được kiểm nghiệm chi tiết độ phản hồi trên từng phím bấm để đảm bảo độ chính xác.\r']"
1,KBAS026,Bàn phím chơi game Asus TUF K5 (USB/RGB/Đen) ,24 tháng,1299000,989000,img/KEY_BOARD/250_55028_ban_phim_choi_game_asus_tuf_k5_usb_rgb_den_0004_5.jpg,"['- Bàn phím chơi game Asus TUF K5 (USB/RGB/Đen)\r', '- Công tắc phím Mech-Brane của TUF Gaming và khả năng chống mất kí tự khi gõ nhiều phím một lúc với chức năng nhận đồng thời tối đa 24 phím giúp tăng độ phản hồi và hiệu quả tin cậy\r', '- Đã được kiểm chứng với tác vụ nặng, được trang bị lớp mạ chuyên dụng để tăng cường độ bền và chống tràn nước để chơi game mỗi ngày\r', '- Năm vùng đèn led ASUS Aura Sync RGB có thể tùy biến độc lập với tính năng đồng bộ hóa đa thiết bị để đạt được khả năng chiếu sáng vô hạn\r', '- Các phím đa phương tiện chuyên dụng ở phía trên bên trái để điều chỉnh âm lượng tức thì mà không làm ngắt quãng trong khi bạn đang chơi game\r']"
2,KBAS012,Bàn phím cơ Asus ROGB Claymore Bond RGB Numpad Red switch,24 tháng,0,4889000,img/KEY_BOARD/250_40589_ban_phim_asus_rogb_claymore_bond_rgb_numpad_red_switch_0003_1.jpg,"['- Bàn Phím Asus ROGB Claymore Bond\r', '- Cụm phím số dành riêng cho bàn phím Asus Claymore\r', '- Không thể sử dụng độc lập\r', '- Switch Cherry RGB\r', '- Đèn led RGB với tính năng Aura Sync']"
3,KBAS013,Bàn phím cơ Asus ROG Claymore Core RGB Aura Sync Cherry Blue switch,24 tháng,0,3789000,img/KEY_BOARD/250_40590_rog_claymore_core_3.jpg,"['- Bàn phím Asus ROG Claymore Core\r', '- Các phím được chiếu đèn nền riêng với công nghệ LED Aura Sync RGB cho vô số tùy chọn cá nhân hóa\r', '- Các phím có thể được lập trình toàn diện với chế độ ghi macro bất cứ lúc nào\r', '- Công nghệ chống sót phím 100% với khả năng ghi nhận N phím cùng lúc (NKRO)\r', '- Phím nóng cho tốc độ quạt, ánh sáng và điều khiển ép xung khi được kết hợp với bo mạch chủ ASUS ROG\r']"
4,KBAS014,Bàn phím cơ Asus US ROG Claymore Core RGB Aura Sync Cherry Red switch,24 tháng,0,3789000,img/KEY_BOARD/250_40591_rog_claymore_core_3.jpg,"['- Bàn phím Asus ROG Claymore Core\r', '- Các phím được chiếu đèn nền riêng với công nghệ LED Aura Sync RGB cho vô số tùy chọn cá nhân hóa\r', '- Các phím có thể được lập trình toàn diện với chế độ ghi macro bất cứ lúc nào\r', '- Công nghệ chống sót phím 100% với khả năng ghi nhận N phím cùng lúc (NKRO)\r', '- Phím nóng cho tốc độ quạt, ánh sáng và điều khiển ép xung khi được kết hợp với bo mạch chủ ASUS ROG\r']"
5,KBAS018,Keyboard ASUS ROG Strix Flare Cherry Blue switch (XA01) (USB/RGB/Đen),24 tháng,0,3699000,img/KEY_BOARD/250_44129_rog_strix_flare_2d_1.png,"['- Bàn phím ASUS ROG Strix Flare\r', '- Các switch phím cơ Cherry MX RGB được sản xuất tại Đức mang lại cảm giác cơ học hài hòa nhờ tính năng điều khiển tối ưu – Lựa chọn của các game thủ chuyên nghiệp và những người đam mê\r', '- Biểu tượng tùy chỉnh được chiếu sáng – Thể hiện niềm tự hào ROG của bạn hoặc thể hiện nét tinh tế của bạn bằng một huy hiệu của cá nhân hoặc của cả đội\r', '- Các bàn phím đa phương tiện chuyên dụng và núm xoay điều chỉnh âm lượng nằm ở bên trái mang lại tính năng điều khiển âm thanh trò chơi tức thời, một cổng USB để kết nối dễ dàng và tấm đệm cổ tay mềm có thể tháo rời.\r', '- Các phím có đèn chiếu sáng đưới riêng và đèn nền rực rỡ được hỗ trợ bởi công nghệ chiếu sáng Aura Sync RGB\r']"
6,KBAS022,Bàn phím Asus ROG Strix Scope RGB Red switch,24 tháng,3999000,3589000,img/KEY_BOARD/250_52945_01_rog_strix_scope_3d_6_aura_silver_keycap.png,"['- Bàn phím Asus ROG Strix Scope Blue switch\r', '- Lý tưởng cho các game FPS: phím Ctrl lớn gấp đôi, thiết kế công thái học giúp giảm nhấn phím nhầm để tăng độ chính xác FPS\r', '- Phím chuyển đổi nhanh: Chuyển đổi tức thì giữa phím chức năng và phím đa phương tiện\r', '- Phím ẩn: Nhấn để ẩn mọi ứng dụng và tắt âm thanh để vào chế độ riêng tư; nhấn lần nữa để hiển thị trở lại\r', '- Công tắc Cherry MX: Công tắc phím được sản xuất tại Đức và được kiểm nghiệm chi tiết độ phản hồi trên từng phím bấm để đảm bảo độ chính xác.']"
7,KBLO071,Bàn phím cơ Logitech G413 Carbon Mechanical Backlit Gaming,24 tháng,1899000,1699000,img/KEY_BOARD/250_36459_keyboard_logitech_g413_carbon_mechanical_backlit_gaming_0000_1.jpg,"['- Bàn phím cơ Gaming Logitech : Logitech G413 Carbon\r', '- Switch Romer-G được phát triển từ Logitech\r', '- Tính năng Multimedia tiện lợi\r', '- Nhận lệnh 24 phím cùng 1 lúc\r', '- Tính năng macro thiết lập đơn giản qua phần mềm Logitech Gaming Software']"
8,KBCS044,Bàn phím cơ Corsair K68 - Cherry MX Red,24 tháng,0,2599000,img/KEY_BOARD/250_37125_keyboard_corsair_k68_mechanical_cherry_mx_red_ch_9102020_na_0000_1.jpg,"['- Bàn phím cơ có khả năng chống tràn nước của Corsair đến từ Mĩ\r', '- Người dùng sẽ không phải lo lắng khi vô tình đổ nước lên bàn phím\r', '- Corsair sử dụng Switch 100% đến từ Cherry cao cấp\r', '- Hệ thống Led màu Đỏ, có thể tùy chỉnh hiệu ứng qua Driver\r', '- Tính năng chống tràn nước có thể phù hợp với các phòng game cao cấp\r']"
9,KBDK158,Bàn phím cơ Ducky One Horizon TKL Red Switch,24 tháng,0,2449000,img/KEY_BOARD/250_40578_ban_phim_ducky_one_horizon_tkl_red_switch_0000_1.jpg,"['- Bàn phím cơ cao cấp trong series Không Led đến từ Ducky\r', '- Thiết kế mỏng nhất có thể để giảm thiểu tổn thương lên cổ tay\r', '- Keycap được nâng cấp lên chất liệu nhựa PBT Doubleshot cao cấp \r', '- Ducky luôn sử dụng 100% Cherry Switch cho sản phẩm của mình\r', '- Phù hợp với các game thủ thích sự đơn giản của bàn phím\r']"
