Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
KBAS023,Bàn phím Asus ROG Strix Scope Blue switch (XA02 (USB/RGB/Đen),24 tháng,3999000,3589000,img/KEY_BOARD/250_52946_01_rog_strix_scope_3d_6_aura_silver_keycap.png,"- Bàn phím Asus ROG Strix Scope Blue switch.- Lý tưởng cho các game FPS: phím Ctrl lớn gấp đôi, thiết kế công thái học giúp giảm nhấn phím nhầm để tăng độ chính xác FPS.- Phím chuyển đổi nhanh: Chuyển đổi tức thì giữa phím chức năng và phím đa phương tiện.- Phím ẩn: Nhấn để ẩn mọi ứng dụng và tắt âm thanh để vào chế độ riêng tư; nhấn lần nữa để hiển thị trở lại.- Công tắc Cherry MX: Công tắc phím được sản xuất tại Đức và được kiểm nghiệm chi tiết độ phản hồi trên từng phím bấm để đảm bảo độ chính xác.."
KBAS026,Bàn phím chơi game Asus TUF K5 (USB/RGB/Đen) ,24 tháng,1299000,989000,img/KEY_BOARD/250_55028_ban_phim_choi_game_asus_tuf_k5_usb_rgb_den_0004_5.jpg,"- Bàn phím chơi game Asus TUF K5 (USB/RGB/Đen).- Công tắc phím Mech-Brane của TUF Gaming và khả năng chống mất kí tự khi gõ nhiều phím một lúc với chức năng nhận đồng thời tối đa 24 phím giúp tăng độ phản hồi và hiệu quả tin cậy.- Đã được kiểm chứng với tác vụ nặng, được trang bị lớp mạ chuyên dụng để tăng cường độ bền và chống tràn nước để chơi game mỗi ngày.- Năm vùng đèn led ASUS Aura Sync RGB có thể tùy biến độc lập với tính năng đồng bộ hóa đa thiết bị để đạt được khả năng chiếu sáng vô hạn.- Các phím đa phương tiện chuyên dụng ở phía trên bên trái để điều chỉnh âm lượng tức thì mà không làm ngắt quãng trong khi bạn đang chơi game."
KBAS012,Bàn phím cơ Asus ROGB Claymore Bond RGB Numpad Red switch,24 tháng,0,4889000,img/KEY_BOARD/250_40589_ban_phim_asus_rogb_claymore_bond_rgb_numpad_red_switch_0003_1.jpg,- Bàn Phím Asus ROGB Claymore Bond.- Cụm phím số dành riêng cho bàn phím Asus Claymore.- Không thể sử dụng độc lập.- Switch Cherry RGB.- Đèn led RGB với tính năng Aura Sync.
KBAS013,Bàn phím cơ Asus ROG Claymore Core RGB Aura Sync Cherry Blue switch,24 tháng,0,3789000,img/KEY_BOARD/250_40590_rog_claymore_core_3.jpg,"- Bàn phím Asus ROG Claymore Core.- Các phím được chiếu đèn nền riêng với công nghệ LED Aura Sync RGB cho vô số tùy chọn cá nhân hóa.- Các phím có thể được lập trình toàn diện với chế độ ghi macro bất cứ lúc nào.- Công nghệ chống sót phím 100% với khả năng ghi nhận N phím cùng lúc (NKRO).- Phím nóng cho tốc độ quạt, ánh sáng và điều khiển ép xung khi được kết hợp với bo mạch chủ ASUS ROG."
KBAS014,Bàn phím cơ Asus US ROG Claymore Core RGB Aura Sync Cherry Red switch,24 tháng,0,3789000,img/KEY_BOARD/250_40591_rog_claymore_core_3.jpg,"- Bàn phím Asus ROG Claymore Core.- Các phím được chiếu đèn nền riêng với công nghệ LED Aura Sync RGB cho vô số tùy chọn cá nhân hóa.- Các phím có thể được lập trình toàn diện với chế độ ghi macro bất cứ lúc nào.- Công nghệ chống sót phím 100% với khả năng ghi nhận N phím cùng lúc (NKRO).- Phím nóng cho tốc độ quạt, ánh sáng và điều khiển ép xung khi được kết hợp với bo mạch chủ ASUS ROG."
KBAS018,Keyboard ASUS ROG Strix Flare Cherry Blue switch (XA01) (USB/RGB/Đen),24 tháng,0,3699000,img/KEY_BOARD/250_44129_rog_strix_flare_2d_1.png,"- Bàn phím ASUS ROG Strix Flare.- Các switch phím cơ Cherry MX RGB được sản xuất tại Đức mang lại cảm giác cơ học hài hòa nhờ tính năng điều khiển tối ưu – Lựa chọn của các game thủ chuyên nghiệp và những người đam mê.- Biểu tượng tùy chỉnh được chiếu sáng – Thể hiện niềm tự hào ROG của bạn hoặc thể hiện nét tinh tế của bạn bằng một huy hiệu của cá nhân hoặc của cả đội.- Các bàn phím đa phương tiện chuyên dụng và núm xoay điều chỉnh âm lượng nằm ở bên trái mang lại tính năng điều khiển âm thanh trò chơi tức thời, một cổng USB để kết nối dễ dàng và tấm đệm cổ tay mềm có thể tháo rời..- Các phím có đèn chiếu sáng đưới riêng và đèn nền rực rỡ được hỗ trợ bởi công nghệ chiếu sáng Aura Sync RGB."
KBAS022,Bàn phím Asus ROG Strix Scope RGB Red switch,24 tháng,3999000,3589000,img/KEY_BOARD/250_52945_01_rog_strix_scope_3d_6_aura_silver_keycap.png,"- Bàn phím Asus ROG Strix Scope Blue switch.- Lý tưởng cho các game FPS: phím Ctrl lớn gấp đôi, thiết kế công thái học giúp giảm nhấn phím nhầm để tăng độ chính xác FPS.- Phím chuyển đổi nhanh: Chuyển đổi tức thì giữa phím chức năng và phím đa phương tiện.- Phím ẩn: Nhấn để ẩn mọi ứng dụng và tắt âm thanh để vào chế độ riêng tư; nhấn lần nữa để hiển thị trở lại.- Công tắc Cherry MX: Công tắc phím được sản xuất tại Đức và được kiểm nghiệm chi tiết độ phản hồi trên từng phím bấm để đảm bảo độ chính xác.."
KBIR008,Bàn phím gaming IRocks IK6-BK,24 tháng,699000,399000,img/KEY_BOARD/250_28592_keyboard_irocks_ik6_bk.jpg,"- Bàn phím chơi game và cho người dùng văn phòng sang trọng của Irocks.- Thiết kế hộp nhựa cứng trong suốt.- Nhận tối đa 30 phím cùng một lúc.- Hệ thống nút bấm giả cơ siêu bền, siêu nảy và nhẹ.- Không phát ra tiếng ồn khi gõ."
KBFU016,Bàn phím gaming Fuhlen G500S Led backlight USB Red - Gaming,24 tháng,799000,659000,img/KEY_BOARD/250_33062_keyboard_fuhlen_g500s_led_backlight_usb_red_gaming.jpg,
KBDG003,Bàn phím cơ Durgod Taurus K310 Space Gray Mechanical Cherry Blue Switch US,24 tháng,2249000,1999000,img/KEY_BOARD/250_44601_keyboard_durgod_taurus_k310_space_gray_mechanical_cherry_blue_switch_us_0000_1.jpg,"- Thương hiệu bàn phím cơ Durgod hoàn toàn mới.- Được sản xuất và lắp ráp tại nhà máy uy tín tại Trung Quốc.- Chất lượng tổng thể cứng cáp, chắc chắn.- Switch sử dụng 100% Cherry MX from Germany.- Anti-Ghosting 100% và NKRO qua cổng USB."
KBRZ073,Bàn phím cơ Razer Blackwidow Lite Silent (RZ03-02640100-R3M1) (USB/TKL/Orange Switch) ,24 tháng,2299000,1999000,img/KEY_BOARD/250_45171_tong_the_ban_phim_razer_blackwidow_lite_silent_mechanical_gaming_keyboard_orange_switch.jpg,- Bàn phím cơ giá rẻ nhất đến từ Razer.- Switch cơ học thế hệ mới độc quyền của hãng.- Tuổi thọ lên tới 80 triệu lượt nhấn.- Hệ thống led màu trắng với nhiều hiệu ứng khác nhau.- Thiết kế Tenkeyless gọn gàng.
KBDA025,Bàn phím cơ Dareu EK1280 RGB Mechanical Brown D Switch Black,24 tháng,0,1079000,img/KEY_BOARD/250_46293_keyboard_dareu_ek1280_rgb_mechanical_brown_d_switch_black_1.jpg,- Bàn phím cơ Dareu EK1280.- Thiết kế fullsize 104 phím.- Sử dụng D switch độc quyền DareU.- Đèn led RGB 16.8 triệu màu.
KBED013,Bàn phím cơ E-Dra EK387 Mechanical Gaming Outemu Brown switch led RGB,24 tháng,749000,649000,img/KEY_BOARD/250_49006_ban_phim_e_dra_ek387_mechanical_gaming_outemu_brown_switch_led_rgb.jpg,- Bàn phím E-Dra EK387 RGB.- Phiên bản nâng cấp với led RGB 16.8 triệu màu.- Thiết kế 87 phím nhỏ gọn.- Sử dung switch Outemu.- Keycaps ABS Double shot.
KBAK085,Bàn phím AKKO ACG84 Dragon Ball Super Goku - Akko switch blue,24 tháng,2199000,1499000,img/KEY_BOARD/250_54621_ban_phim_akko_acg84_dragon_ball_super_goku_akko_switch_blue_0003_4.jpg,"- Bàn phím AKKO ACG84 Dragon Ball Super Goku.- Model: 3084 (84 keys).- Kết nối: USB Type C, có thể tháo rời.- Hỗ trợ NKRO.- Keycap: PBT Dye-Subbed, OEM profile."
KBCS058,Bàn phím cơ Corsair K95 Platinum XT RGB Mechanical Gaming Cherry MX Blue Switch (CH-9127411-NA),24 tháng,4499000,4299000,img/KEY_BOARD/250_51720_mat_chinh_dien_ban_phim_co_corsair_k95_platinum_xt_rgb_mechanical_gaming_cherry_mx_blue_switch_ch_9127411_na.jpg,"- Bàn phím cơ Corsair K95 Platinum XT RGB Mechanical Gaming Cherry MX Blue Switch.- Chiếc bàn phím Cao Cấp Nhất của Corsair, thương hiệu Mĩ.- Corsair sử dụng 100% Switch phím cơ đến từ Cherry.- Được bổ sung thêm khu vực led viền trên rất đẹp.- Dãy phím Macro có thể gán nhiều chức năng đặc biệt trong game."
