,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,MOAS137,Màn hình Asus VG279Q (27 inch/FHD/IPS/144Hz/1ms/400cd/m²/DP+HDMI+DVI/Loa 2x2w),36 tháng (Adapter bảo hành 12 tháng),11899000,6989000,img/MONITOR/250_47875_vg279q.jpg,"['- Kích thước\t27 inch\r', '- Độ phân giải\t1920 x 1080\r', '- Tấm nền  \tIPS\r', '- Bề mặt hiển thị\tChống lóa 3H\r', '- Tốc độ làm tươi\t144Hz\r']"
1,MOAC047,Màn hình Acer R241YB (23.8 inch/FHD/LED/IPS/DVI+HDMI+VGA/75Hz/1ms/250 cd/m²),24 tháng,4497900,4089000,img/MONITOR/250_34494_r241y__7_.png,"['- Kích thước màn hình: 23.8 inch IPS Freesync\r', '- Độ phân giải: 1920x1080\r', '- Độ sáng: 250 cd / m²\r', '- Tỷ lệ tương phản: 100,000,000:1\r', '- Thời gian đáp ứng: 1ms VBR\r']"
2,MOAC068,Màn hình Acer K222HQL (21.5 inch/LED/TN/200 cd/m²/VGA+DVI/60Hz/5ms),24 tháng,2627900,2389000,img/MONITOR/250_47452_1.jpg,"['- Model\tK222HQL\r', '- Kiểu màn hình\tMàn hình rộng\r', '- Kích thước màn hình\t21.5Inch LED\r', '- Độ sáng\t200cd/m2\r', '- Tỷ lệ tương phản\t1.000.000:1\r']"
3,MOAC066,Màn hình Acer ED273 Full HD/75Hz Curved,24 tháng,5487900,4989000,img/MONITOR/250_51341_ed273_full_hd__1_.jpg,"['- Thiết kế cong không viền cho tầm nhìn tốt hơn\r', '- Công nghệ lọc ánh sáng màu xanh giảm bớt tác hại cho mắt\r', '- Công nghệ Acer Flickerless giúp loại bỏ màn hình nhấp nháy']"
4,MODE151,Màn hình Dell Ultrasharp U2719DC (27 inch/2K/IPS/USB-C+DP+HDMI/350cd/m²/60Hz/8ms),24 tháng,11489000,10589000,img/MONITOR/250_45034_dell_27u2719dc__4_.png,"[""- Kích Thước Màn Hình\t27''\r"", '- Độ Sáng Màn Hình\t350 cd/m²\r', '- Độ Phân Giải Màn Hình\t2560x1440 at 60Hz\r', '- Thời Gian Đáp Ứng\t8 ms (gray to gray) Normal Mode\r', '- 6 ms ( gray to gray) FAST Mode\r']"
5,MOAO133,Màn hình AOC 22B1HS/74 (21.5 inch/FHD/IPS/VGA+HDMI/250cd/m²/60Hz/5ms),24 tháng,2499000,2249000,img/MONITOR/250_47173_aoc_22b1hs__4_.png,"['- Kích thước\t21.5 inch\r', '- Độ phân giải\t1920 x 1080\r', '- Tấm nền  \tIPS\r', '- Bề mặt hiển thị\tChống lóa\r', '- Tốc độ làm tươi\t60Hz\r']"
6,MOKI006,Màn hình Kinglight M2736B (27inch/FHD/TN/75Hz/1ms/250nits/HDMI+DP/Cong),24 tháng,4099000,3899000,img/MONITOR/250_47079_kinglight_m2736b__2_.png,"['- Kích thước\t27 inch\r', '- Độ phân giải\t1920 x 1080\r', '- Tấm nền  \tAUO-TN\r', '- Bề mặt hiển thị\tChống lóa\r', '- Tốc độ làm tươi\t75Hz\r']"
7,MOSA197,Màn hình Samsung LS27E360HS/XV (27 inch/FHD/PLS/300cd/m²/D-Sub+HDMI/75Hz/4ms/Màu Trắng Ngọc Trai),24 tháng,4779000,4399000,img/MONITOR/250_49443_samsung_ls27e360hs_xv__3_.png,"['- Kích thước màn hình\t27 inch\r', '- Độ phân giải\t1920 x 1080\r', '- Tần số quét\t75hz\r', '- Góc nhìn\t178° (H) / 178° (V)\r', '- Độ sáng\t300 cd/m2\r']"
8,MOGI007,Màn hình Gigabyte G32QC (31.5 inch/2K/VA/165Hz/1ms/350 nits/HDMI+DP/Cong),24 tháng,10699000,9249000,img/MONITOR/250_52809_gigabyte_g32qc__7_.jpg,"['- Kích thước lớn 31.5 inch với độ cong lý tưởng 1500R.\r', '- Tấm nền VA độ phân giải 2560 x 1440, tốc độ làm mới 165Hz. Đ\r', '- Hỗ trỡ FreeSync Premium Pro và G-sync compatible.\r', '- Độ phủ màu 94% DCI-P3 (124% sRGB).\r', '- Tốc độ phản hồi siêu nhanh 1ms (MPRT)']"
9,MOMS013,Màn hình MSI Optix G271 (27 inch/FHD/IPS/144Hz/1ms/250 nits/HDMI+DP/FreeSync),24 tháng,7499000,6489000,img/MONITOR/250_52912_moms013__5_.jpg,"['- Tấm nền IPS - Tối ưu hóa màu sắc và độ sáng màn hình\r', '- Độ phân giải cao FHD - Các tựa game sẽ trông đẹp hơn, hiển thị nhiều chi tiết hơn\r', '- Tần số quét 144Hz - Chơi game thực sự mượt mà.\r', '- Thời gian đáp ứng 1ms - Loại bỏ rách màn hình và trễ khung hình.\r', '- Công nghệ AMD FreeSync ™ \r']"
