,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,MEAS039,Chuột chơi game Asus ROG Strix Impact (P303),24 tháng,0,749000,img/MOUSE/250_37366_rog_strix_impact_2d_1.jpg,"['- Chuột ASUS ROG Strix Impact\r', '- Được tùy chỉnh phù hợp với chơi game trong thời gian dài\r', '- Công nghệ đèn LED RGB ASUS Aura Sync\r', '- Công tắc Omron® với độ bền 50 triệu lần bấm\r', '- Nút chuột trái và phải tách biệt khỏi khung thân giúp cải thiện độ nhạy\r']"
1,MEAS048,Chuột chơi game Asus TUF M3,24 tháng,749000,629000,img/MOUSE/250_51521_tuf_gaming_m3_02.png,"['- Chuột chơi game Asus TUF M3\r', '- Thiết kế công thái học và trọng lượng nhẹ để thao tác tốc độ cao tiện lợi bằng kiểu cầm chuột claw hoặc fingertip grip.\r', '- Cảm biến quang 7000-dpi đẳng cấp chơi game để theo dõi chính xác điểm ảnh cùng với hai nút DPI để điều chỉnh độ nhạy khi di chuyển.\r', '- Lớp mạ chuyên dụng đã được kiểm chứng với tác vụ khó cho độ bền cao hơn, 20 triệu lần nhấn công tắc và chân Teflon® được thiết kế để đạt được độ bền di chuột lên tới 250km.\r', '- Đèn ASUS Aura Sync RGB tùy biến với tính năng đồng bộ đa thiết bị để tạo ra vô số kiểu chiếu sáng.\r']"
2,MEAS053,Chuột Asus ROG Pugio (P503),24 tháng,1989000,1589000,img/MOUSE/250_52943_asus_rog_pugio__4_.jpg,"['- Chuột Asus ROG Pugio\r', '- Chuột chơi game thật sự kết hợp với các nút bên cạnh có thể định cấu hình\r', '- Độc quyền đẩy-fit chuyển đổi thiết kế ổ cắm để dễ dàng thay đổi kích cỡ và kéo dài tuổi thọ của con chuột\r', '- Tính thẩm mỹ mạnh mẽ với ánh sáng Aura RGB của Asus và hỗ trợ Aura Sync, các tấm bên ngoài bằng cao su của Mayan và các bản khắc dưới đáy.\r', '- Các thiết bị chuyển mạch Omron bền vững trị giá 50 triệu đô la, với hai thiết bị chuyển mạch Omron Nhật Bản tạo ra cảm giác bấm khác\r']"
3,MEAS055,Chuột Chơi game Asus ROG Gladius II Core (P507) (USB/RGB/Black),24 tháng,1299000,1089000,img/MOUSE/250_53593_chuot_choi_game_asus_rog_gladius_ii_core_0002_3.jpg,"['- Chuột Chơi game Asus ROG Gladius II Core\r', '- Thiết kế công thái học cổ điển quen thuộc của dòng chuột Gladius\r', '- Thiết kế gọn nhẹ, các nút trái, phải riêng biệt, 2 bên hông được khắc rãnh chống trượt mang phong cách ROG\r', '- Mắt cảm biến PAW3327, độ phân giải 6200 DPI tracking nhanh và chính xác\r', '- Thiết kế thay nóng switch bấm độc quyền ROG, tăng độ bền và tuổi thọ của chuột\r']"
4,MEAS050,Chuột chơi game ASUS Cerberus (USB/Đen),24 tháng,499000,399000,img/MOUSE/250_51989_tong_the_chuot_choi_game_asus_cerberus_optical_gaming_mouse.jpg,"['- Chuột chơi game ASUS Cerberus\r', '- Điều khiển DPI linh hoạt - Bốn nấc DPI tùy chỉnh được với một đèn LED chỉ báo màu sắc\r', '- Thiết kế hai tay thời trang - Được thiết kế cho cả các game thủ thuận tay trái và thuận tay phải\r', '- Cao su ở hai bên giúp nắm chắc hơn - Giảm thiểu ra mồ hôi và trượt tay']"
5,MEAS057,Chuột Asus ROG Gladius II Pink (USB/Màu hồng),24 tháng,2499000,2289000,img/MOUSE/250_54460_rog_gladius_ii_origin_pnk_ltd_3d_5.png,"['- Chuột Asus ROG Gladius II Pink\r', '- Phiên bản màu hồng cực cá tính\r', '- Cảm biến quang học PixArt PMW3360 cho độ chính xác cao  \r', '- 12000 DPI, gia tốc 50G và 250 IPS\r', '- Switch Omron với độ bền 50 triệu lần nhấn, đồng thời có thể thay nóng với thiết kế độc quyền của Asus\r']"
6,MEFU044,Chuột Fuhlen A37GS Optical Wireless,24 tháng,0,279000,img/MOUSE/250_33713_mouse_fuhlen_a37gs_optical_wireless.jpg,['']
7,MELO079,Chuột chơi game Logitech G402 USB Black,24 tháng,799000,699000,img/MOUSE/250_29034_tong_the_mouse_logitech_g402_usb_black.jpg,"['- Chuột Game FPS nhanh nhất thế giới !\r', '- Chuột Logitech G402 sử dụng cảm biến quang học công nghệ Logitech Delta Zero™ tích hợp Fusion Engine™ cho tốc độ lên đến 500IPS.\r', '- Tích hợp 8 nút có thể lập trình được, gán các tác vụ khác nhau được trên chuột.\r', '- Cho phép chuyển đổi DPI từ 250 DPI đến 4000 DPI ngay tức thì bằng phím bấm trên chuột.\r', '- Sử dụng bộ xử lý 32 BIT ARM để đảm bảo mọi tác vụ được xử lý nhanh chóng , tốc độ, chính xác,... một cách thông minh.\r']"
8,MEDE014,Chuột Dell MS116 (USB/Đen),24 tháng,0,129000,img/MOUSE/250_37667_mouse_dell_ms116_usb_black_1.jpg,"['- Chuột Dell MS116\r', '- Kết nối USB thuận tiện\r', '- Nút bấm êm, thoải mái\r', '- Thiết kế nhỏ gọn,phù hợp với tác vụ nhẹ và văn phòng']"
9,MERZ074,Chuột chơi game Razer Basilisk FPS Gaming (RZ01-02330100-R3A1),24 tháng,0,1699000,img/MOUSE/250_38438_chuot_razer_basilisk_fps_gaming_rz01_02330100_r3a1_0001_1.jpg,"['- Chuột chơi game mới nhất của Razer hướng đến game thủ FPS\r', '- Thiết kế Công Thái Học thuận tay phải, cho cảm giác cầm nắm thoải mái\r', '- Hệ thống Led RGB Chroma tùy chỉnh qua phần mềm Razer Synapse\r', '- Mắt cảm biến Pixart 3389 tương tự Deathadder Elite\r', '- Trang bị 3 công tắc nút đặc biệt, thay đổi vị trí phù hợp với từng game thủ\r']"
10,MELO127,Chuột không dây Logitech M331 (USB/Màu xanh),24 tháng,419000,339000,img/MOUSE/250_43621_mouse_logitech_m331_wireless_blue_0000_1.jpg,"['- Chuột Logitech M331 Wireless\r', '- Độ phân giải : 1000DPI\r', '- Nút chuột Silent giảm đến 90% tiếng ồn\r', '- Kết nối không dây tiện lợi\r', '- Tuổi thọ pin lên đến 24 tháng']"
11,MESS098,Chuột chơi game SteelSeries Rival 310 PUBG (62435),24 tháng,1599000,1459000,img/MOUSE/250_44432_mouse_steelseries_rival_310_pubg_62435_0001_1.jpg,"['- Chuột chơi game dành cho game thủ chuyên nghiệp đến từ Steelseries\r', '- Thương hiệu: Đan Mạch\r', '- Mắt cảm biến: Pixart TrueMove3 độc quyền dành cho Steelseries\r', '- Độ phân giải tối đa: 12000DPI\r', '- Tốc độ kiểm soát tối đa: 350IPS\r']"
12,MENE070,Chuột Không dây Newmen F270 (USB/Màu bạc),24 tháng,0,159000,img/MOUSE/250_45550_mouse_newmen_f270_wireless_silver_1.jpg,['']
13,MENE082,Chuột Newmen M201 Black USB,24 tháng,0,149000,img/MOUSE/250_49105_chuot_newmen_m201_black_usb_1.jpg,"['- Chuột Newmen M201\r', '- Độ phân giải : 1200 DPI\r', '- Kết nối dây USB thuận tiện\r', '- Phù hợp cho tác vụ nhẹ và văn phòng']"
14,MENE086,Chuột Newmen G7Plus Gaming Black/Yellow Led USB,24 tháng,249000,219000,img/MOUSE/250_49109_chuot_newmen_g7plus_gaming_black_yellow_led_usb.png,"['- Chuột Newmen G7Plus\r', '- Độ phân giải : 800-1200-1600CPI\r', '- Tuổi thọ nút : 5 triệu lần nhấn\r', '- Cảm biến Pixart giúp sử dụng chuột trên nhiều bề mặt khác nhau\r', '- Dây cáp bọc dù chống nhiễu, đầu USB mạ vàng cao cấp']"
15,MEAK001,Chuột chơi game AKKO AG325 Pink,24 tháng,0,499000,img/MOUSE/250_51867_thiet_ke_cua_chuot_choi_game_akko_ag325_pink.jpg,"['- Chuột chơi game AKKO AG325 Pink\r', '- Thiết kế đối xứng\r', '- Mắt đọc PWM3325\r', '- Giao tiếp USB, dây cáp dài 1,8m\r', '- Vỏ nhựa ABS\r']"
16,MECM019,Chuột chơi game Cooler Master MM711 White Glossy RGB,24 tháng,0,1489000,img/MOUSE/250_51525_hnc_huot_choi_game_cooler_master_mm711_white_glossy_rgb.jpg,"['- Chuột chơi game Cooler Master MM711 White Glossy\r', '- Mắt cảm biến Pixart PMW3389 cao cấp\r', '- Thiết kế đối xứng phù hợp với nhiều người\r', '- Chuột chơi game nhẹ nhất thế giới với trọng lượng chưa đến 60g\r', '- Dây chuột siêu mềm\r']"
17,MEED010,Chuột E-Dra EM660 Pro FPS (USB/RGB/Đen) ,24 tháng,599000,549000,img/MOUSE/250_53318_chuot_choi_game_e_dra_em660_pro_fps_black.jpg,"['- Chuột chơi game E-Dra EM660 Pro FPS Black\r', '- Thiết kế Ergonomic dành cho người thuận tay phải\r', '- Mắt cảm biến : Pixart PMW3389\r', '- Độ phân giải : 16000 DPI\r', '- Switch bấm độ bền 50 triệu lần nhấn \r']"
18,MELO049,Chuột Logitech B100 Black,24 tháng,119000,99000,img/MOUSE/250_3744_4872_522ce00c5acc3b5b8ec5c3dd81498fa4.jpg,['- Logitech B100/ Chuột quang/ độ phân giải 800dpi/ Kết nối USB /Thiết kế đẹp']
