Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
MBAS588,"Mainboard ASUS PRIME H410M-A (Intel H410, Socket 1200, m-ATX, 2 khe Ram DDR4)",24 tháng,0,1959000,img/MAIN/250_52872_prime_h410m_a_01.png,- Kích thước: M-ATX.- Socket: LGA 1200.- Chipset: H410.- Khe RAM tối đa: 2.- Loại RAM hỗ trợ: DDR4.
MBAS558 ,"Mainboard ASUS ROG MAXIMUS XII FORMULA (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",36 tháng,0,0,img/MAIN/250_52342_rog_maximus_xii_formula_01.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  3 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: Không."
MBAS581,"Mainboard ASUS TUF GAMING B460-PRO (WIFI) (Intel B460, Socket 1200, ATX, 4 khe Ram DDR4)",24 tháng,0,0,img/MAIN/250_52865_tuf_gaming_b460_pro__wi_fi__01_01.jpg,- Kích thước: ATX.- Socket: LGA1200.- Chipset: B460.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS579,"Mainboard ASUS ROG STRIX B460-H GAMING (Intel B460, Socket 1200, ATX, 4 khe Ram DDR4)",24 tháng,0,3459000,img/MAIN/250_52863_rog_strix_b460_h_gaming_01_01.jpg,- Kích thước: ATX.- Socket: LGA1200.- Chipset: B460.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS535,"Mainboard ASUS ROG STRIX X570-E GAMING (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",24 tháng,0,9349000,img/MAIN/250_47571_rog_strix_x570_e_gaming_aura_sync_01.png,- Kích thước: ATX.- Socket: AM4.- Chipset: X570.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS534,"Mainboard ASUS ROG X570 CROSSHAIR VIII HERO (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",24 tháng,0,11399000,img/MAIN/250_47570_rog_crosshair_viii_hero_aura_sync_01.png,"- Ổ cắm AMD AM4: Hỗ trợ các bộ xử lý AMD Ryzen™ thế hệ thứ 2 và thứ 3 và tới hai ổ M.2, USB 3.2 Gen2 và AMD StoreMI để tối tối đa khả năng kết nối và tốc độ..- Thiết kế tản nhiệt toàn diện: Quạt tản nhiệt chipset chủ động, quạt tản nhiệt M.2 bằng nhôm và khu vực làm mát ROG..- Bộ nguồn ổn định: Thiết kế bộ nguồn với 14+2 pha cấp điện IR3555 PowIRstages, ProCool II, cuộn cảm lõi sắt từ và tụ điện kim loại đen 10K do Nhật Bản sản xuất..- Mạng hiệu suất cao: Wi-Fi 6 tích hợp (802.11ax) hỗ trợ MU-MIMO, 2.5 Gbps Ethernet và Gigabit Ethernet, cả hai đều được trang bị công nghệ bảo vệ ASUS LANGuard và hỗ trợ phần mềm GameFirst V..- Tối ưu 5 Chiều: Hiệu chỉnh tự động toàn hệ thống, cung cấp các hồ sơ ép xung và làm mát được tùy chỉnh cho hệ thống của bạn.."
MBAS533,"Mainboard ASUS ROG X570 CROSSHAIR VIII HERO Wifi (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",24 tháng,0,11899000,img/MAIN/250_47569_rog_crosshair_viii_hero__wi_fi__aura_sync_01.png,"- Mainboard Asus Rog Crosshair VIII Hero (WI-FI).- Chuẩn mainboard: ATX.- Socket: AM4 , Chipset: X570.- Hỗ trợ RAM: DDR4 , tối đa 64GB.- Cổng cắm lưu trữ: 1 x M.2 NVMe; 1 x M.2 SATA/NVMe; 6 x SATA 3 6Gb/s."
MBAS532,"Mainboard ASUS ROG X570 CROSSHAIR VIII FORMULA (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",24 tháng,0,21699000,img/MAIN/250_47568_rog_crosshair_viii_formula_aura_sync_01.png,"- Socket: AM4 hỗ trợ CPU AMD thế hệ 3.- Kích thước: ATX.- Khe cắm RAM: 4 khe (Tối đa 128GB).- Khe cắm mở rộng: 2 x PCIe 4.0/3.0 x16.- Khe cắm ổ cứng: 1 x M.2, 8 x SATA 6Gb/s."
MBAS596,"Mainboard ASUS TUF GAMING B550-PLUS (AMD B550, Socket AM4, ATX, 4 khe RAM DRR4)",36 tháng,4299000,4099000,img/MAIN/250_53324_tuf_b550_plus_gaming_1.jpg,- Kích thước: ATX.- Socket: AM4.- Chipset: B550.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS597,"Mainboard ASUS TUF GAMING B550M-PLUS (AMD B550, Socket AM4, m-ATX, 4 khe RAM DRR4)",36 tháng,4199000,3999000,img/MAIN/250_53325_tuf_gaming_b550m_plus_01.jpg,- Kích thước: M-ATX.- Socket: AM4.- Chipset: B550.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
