Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
MOAS137,Màn hình Asus VG279Q (27 inch/FHD/IPS/144Hz/1ms/400cd/m²/DP+HDMI+DVI/Loa 2x2w),36 tháng (Adapter bảo hành 12 tháng),11899000,6989000,img/MONITOR/250_47875_vg279q.jpg,- Kích thước	27 inch.- Độ phân giải	1920 x 1080.- Tấm nền  	IPS.- Bề mặt hiển thị	Chống lóa 3H.- Tốc độ làm tươi	144Hz.
MOSA195,Màn hình Samsung LU28H750UQEXXV (28 inch/4K/IPS/350cd/m²/DP+HDMI/60Hz/5ms),24 tháng,22999000,10999000,img/MONITOR/250_48215_samsung_28_lu28h750uqexxv_4k__4_.png,"- Thương hiệu	SAMSUNG.- Tên sản phẩm	LU28H750UQEXXV.- Màu vỏ	Xanh đen kết hợp ghi xám.- Phân khúc	Văn Phòng.- Kích thước màn hình	28""."
MOAC047,Màn hình Acer R241YB (23.8 inch/FHD/LED/IPS/DVI+HDMI+VGA/75Hz/1ms/250 cd/m²),24 tháng,4497900,4089000,img/MONITOR/250_34494_r241y__7_.png,"- Kích thước màn hình: 23.8 inch IPS Freesync.- Độ phân giải: 1920x1080.- Độ sáng: 250 cd / m².- Tỷ lệ tương phản: 100,000,000:1.- Thời gian đáp ứng: 1ms VBR."
MOVI080,Màn Hình Viewsonic VA2407H (23.6/FHD/LED/TN/60Hz/5ms/250 nits/HDMI+VGA),24 tháng,2699000,2599000,img/MONITOR/250_36998_viewsonic_va2407h__4_.png,- Tên Hãng	Viewsonic.- Model	VA2407h.- Kiểu màn hình	Màn hình rộng.- Kích thước màn hình	23.6Inch LED.- Độ sáng	250cd/m2.
MOVI089,Màn hình Viewsonic VX2758-C-MH (27 inch/FHD/LED/VA/144Hz/4ms/280 nits/HDMI+VGA/Cong),24 tháng,6490000,5699000,img/MONITOR/250_42329_viewsonic_vx2758__4_.png,"- Kiểu màn hình	Màn hình gaming.- Kích thước màn hình	27Inch .- Độ sáng	280cd/m2.- Tỷ lệ tương phản	3000:1 ( tiêu chuẩn), 80.000.000:1 (DCR).- Độ phân giải	Full HD (1920x1080)."
MOAS139,Màn hình Asus VG248QG (24 inch/FHD/TN/165Hz/0.5ms/350cd/m²/DP+HDMI+DVI/Loa 2x2W),36 tháng (Adapter bảo hành 12 tháng),6499000,5989000,img/MONITOR/250_48981_asus_vg248qg__4_.png,"- Kích thước màn hình	24"" (trừ viền 23.8"").- Phủ bề mặt	Chống lóa.- Đèn nền	LED.- Độ phân giải	1920 x 1080.- Tần số quét	165 Hz."
MOHP120,Màn hình HP 27F (27inch/FHD/IPS/60Hz/5ms/300nits/HDMI+VGA),24 tháng,6259000,4789000,img/MONITOR/250_46628_hp_27f__4_.png,- Tên Hãng	HP.- Model	27F (3AL61AA).- Kiểu màn hình	Màn hình văn phòng.- Kích thước màn hình	27Inch IPS.- Độ sáng	300 cd/m2.
MOAO135,Màn hình AOC 24V2Q (23.8 inch/LED/IPS/75Hz/250cd/m²/DP+HDMI/5ms),24 tháng,3659000,2899000,img/MONITOR/250_47461_xxx_0003_layer_2.png,- Kích thước	23.8 inch.- Độ phân giải	1920 x 1080.- Tấm nền  	IPS.- Bề mặt hiển thị	Chống lóa 3H.- Tốc độ làm tươi	75Hz.
MOBJ001,Màn hình BJX G30P5 (30 inch/UWHD/VA/200Hz/5ms/HDMI+DP/Free-Sync/Cong),24 tháng,9089000,7399000,img/MONITOR/250_51061_bjx_g30p5___1_.jpg,- Model BJX G30P5.- kích thước tấm nền 30 inch.- Độ cong 1800R.- Tần số quét 200HZ.- Tỉ lệ màn hình: 21:9 Ultra wide .
MOHK013,Màn hình HKC M27A6FX (27 inch/FHD/VA/75Hz/12ms/220 nits/HDMI+VGA),24 tháng,4769000,3949000,img/MONITOR/250_52262_hkc_m27a6fx__7_.png,"- LED | Panel VA | 27"" | 1920 x 1080 | 16:9| 75hz.- Độ sáng: 220 cd/m2 | 3000:1 | 16.7 triệu màu.- T/g đáp ứng: 12ms (GTG).- Kết nối: VGA| HDMI.- Góc Nhìn: 170°(H)/160°(V)."
