,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,PWFP052,FSP Power Supply HYDRO G PRO Series Model HG2-850 - Active PFC - 80 Plus Gold - Full Modular,24 tháng,3299000,3159000,img/PSU/250_51459_fsp_power_supply_hydro_g_pro_series_model_hg2_850_active_pfc_80_plus_gold_full_modular_0001_2.jpg,"['- Hiệu suất trên 90%\r', '- Hệ thống tuỳ chỉnh quạt thông minh\r', '- Quạt 120mm trang bị trục bi bền bỉ\r', '- Dây cable đen phù hợp với thiết kế các cỗ máy cao cấp\r', '- Dòng 12V singe rail mạnh mẽ\r']"
1,PWJE009,Nguồn Jetek P500 500W (Màu Đen/Led RGB ),24 tháng,0,1189000,img/PSU/250_49301_nguon_may_tinh_jetek_p_rgb_80_plus_bronze__3_.jpg,"['- Hiệu suất cao lên tới 80%\r', '- Thiết kế cấu truc tổ ong, tối ưu luồng gió lưu thông làm mát\r', '- Ngõ ra điện áp +12V tăng cường công suất, mở rộng khả năng sử dụng\r', '- Quạt làm mát 12cm đem lại sự yên tĩnh khi hoạt động\r', '- DC to DC Converter\r']"
2,PWJE007,Nguồn Jetek M600 600W (Màu Đen),24 tháng,0,1089000,img/PSU/250_49299_nguon_may_tinh_jetek_m_80_plus_standard_0001_1__1_.jpg,"['- Hiệu suất cao lên tới 80%\r', '- Thiết kế cấu truc tổ ong, tối ưu luồng gió lưu thông làm mát\r', '- Ngõ ra điện áp +12V tăng cường công suất, mở rộng khả năng sử dụng\r', '- Quạt làm mát 12cm đem lại sự yên tĩnh khi hoạt động\r', '- DC to DC Converter']"
3,PWAE009,Nguồn Aerocool VX PLUS 500 230V N-PFC 500W ( Màu Đen),24 tháng,599000,549000,img/PSU/250_52790_aerocool_vx_plus_500_0002_1__4_.jpg,"['- Đạt tiêu chuẩn ATX12 v2.4 & EPS12 v2.92\r', '- Hiệu suất cao ≧ 75%\r', '- Thiết kế đường 12V Single Rail\r', '- Quạt siêu êm 120mm\r', '- Bảo vệ hoàn toàn: OCP, OVP, SCP, OPP, OTP\r']"
4,PWFP003,Nguồn FSP Power Supply AX Series AX400ATX  Active PFC (Màu Đen/Không kèm dây nguồn),24 tháng,589000,539000,img/PSU/250_31128_nguon_fsp_ax_series_400atx_model_ax350_51ylc_0004_5.jpg,['']
5,PWJE005,Nguồn Jetek M500  500W (Màu Đen/Led RGB ),24 tháng,0,949000,img/PSU/250_48073_nguon_may_tinh_jetek_m_rgb_80_plus_white__1_.jpg,"['- Hiệu suất cao lên tới 80%\r', '- Thiết kế cấu truc tổ ong, tối ưu luồng gió lưu thông làm mát\r', '- Ngõ ra điện áp +12V tăng cường công suất, mở rộng khả năng sử dụng\r', '- Quạt làm mát 12cm đem lại sự yên tĩnh khi hoạt động\r', '- DC to DC Converter\r']"
6,PWFP034,Nguồn FSP Power Supply HYPER K Series HP600  Active PFC (80 Plus  Standard/Màu Đen),24 tháng,1369000,1199000,img/PSU/250_38048_fsp_power_supply_hyper_k_series_hp600_0001_2.jpg,"['- Đạt tiêu chuẩn ATX 12V v2.4 & EPS 12V v2.92\r', '- Đạt hiệu suất 85%\r', '- Active PFC, hệ số công suất ≧ 99%\r', '- Thiết kế đường Sngle Rail 12V\r', '- Đầu nối card đồ họa PCI-Express 6 + 2 pin\r']"
7,PWKE001,Nguồn Kenoo ATX550  550w (Màu Trắng),24 tháng,0,299000,img/PSU/250_50166_kenoo_atx550_550w_7.jpg,"['- Nguồn KENOO phiên bản đặc biệt dùng cho máy văn phòng có màng bọc chống côn trung phòng tránh cháy nổ .\r', '- Mạch in(PCB) 2 lớp đồng, nguồn hoạt động ổn định hơn, mát hơn, mạnh mẽ hơn.\r', '- Lá tản nhiệt mạnh mẽ đảm bảo hệ thống chạy liên tục\r', '- Hệ dây mở rộng, hoàn hảo cho hệ thống đi dây máng cáp""']"
8,PWFP004,Nguồn FSP Power Supply HYN Series HYN450ATX Active PFC (Màu Đen),24 tháng,769000,699000,img/PSU/250_31129_nguon_fsp_hyn_series_hyn450atx_400w_0003_4.jpg,['']
9,PWJE006,Nguồn Jetek P600 600W (Màu Đen/Led RGB ),24 tháng,0,1449000,img/PSU/250_48074_nguon_may_tinh_jetek_p_rgb_80_plus_bronze__3_.jpg,"['- Hiệu suất cao lên tới 80%\r', '- Thiết kế cấu truc tổ ong, tối ưu luồng gió lưu thông làm mát\r', '- Ngõ ra điện áp +12V tăng cường công suất, mở rộng khả năng sử dụng\r', '- Quạt làm mát 12cm đem lại sự yên tĩnh khi hoạt động\r', '- DC to DC Converter\r']"
10,PWFP048,Nguồn FSP HYDRO PTM+ Series 850W - Active PFC - 80 Plus Platinum - Full Modular,24 tháng,8459000,7999000,img/PSU/250_51367_nguon_fsp_hydro_ptm_series_850w_active_pfc_80_plus_platinum_full_modular_0004_5.jpg,"['- Hiệu suất ≥ 92%\r', '- Tiêu chuẩn 80 Plus Platinum\r', '- Giải pháp tản nhiệt lai với quạt 135mm và tản nhiệt nước\r', '- +12V Single-Rail\r', '- Full modular\r']"
11,PWAC082,Nguồn Acbel iPower G550 550W (80 Plus/Màu Đen),24 tháng,0,999000,img/PSU/250_50025_acbel_ipower_g600.jpg,"['- Bộ nguồn ACBEL công suất thực với đầy đủ các cổng kết nối bao gồm 1 dây 4+4 pin cho CPU, 2 dây 6+2pin cho card đồ hoạ.\r', '- Hiệu suất đạt 81%']"
12,PWFP005,Nguồn FSP Power Supply HYN Series HYN500ATX  Active PFC (Màu Đen),24 tháng,899000,799000,img/PSU/250_31130_nguon_fsp_hyn_series_hyn500atx_450w_0003_4.jpg,['']
13,PWJE004,Nguồn Jetek M500 500W (Màu Đen),24 tháng,0,889000,img/PSU/250_48072_nguon_may_tinh_jetek_m_80_plus_standard_0001_1__1_.jpg,"['- Hiệu suất cao lên tới 80%\r', '- Thiết kế cấu truc tổ ong, tối ưu luồng gió lưu thông làm mát\r', '- Ngõ ra điện áp +12V tăng cường công suất, mở rộng khả năng sử dụng\r', '- Quạt làm mát 12cm đem lại sự yên tĩnh khi hoạt động\r', '- DC to DC Converter']"
14,PWJE017,Nguồn Jetek E550 550W (Màu Đen/Led RGB ),24 tháng,0,1859000,img/PSU/250_49309_nguon_may_tinh_jetek_e550_rgb_80_plus_gold_0003_1__2_.jpg,"['- Hiệu suất cao tới 90%\r', '- Đường +12V hiệu suất cao\r', '- Quạt thông minh giảm tiếng ồn\r', '- Quạt RGB độc đáo']"
15,PWFP021,Nguồn FSP Power Supply HYDRO X Series HGX550 Active PFC (80 Plus  Gold/Màu Đen),24 tháng,2199000,2099000,img/PSU/250_50349_fsp_power_supply_hydro_x_series_hgx550_active_pfc_80_plus_gold_0002_3.jpg,['']
16,PWCO078,Nguồn Corsair Series CV 650 650W (80 Plus Brone/Mầu Đen) ,36 tháng,1499000,1429000,img/PSU/250_52936_corsair_series_cv_650w_0005_1__1_.jpg,"['- Bộ nguồn CORSAIR CV rất lý tưởng để cung cấp năng lượng cho PC tại nhà hoặc văn phòng mới của bạn, với hiệu suất 80 PLUS Bronze được đảm bảo để liên tục cung cấp toàn bộ công suất cho hệ thống của bạn.\r', '- Mức giá sản phẩm vô cùng cạnh tranh so với các sản phẩm khác cùng phân khúc.']"
17,PWFP006,Nguồn FSP Power Supply HYN Series HYN550ATX  Active PFC (Màu Đen),24 tháng,969000,899000,img/PSU/250_31131_nguon_fsp_hyn_series_hyn550atx_500w_0003_4.jpg,['']
