,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,HDSA089,Ổ cứng SSD Samsung 860 EVO 250GB 2.5 inch SATA3 (Đọc 550MB/s - Ghi 520MB/s),24 tháng,0,1459000,img/SSD/250_41502_____c___ng_ssd_samsung_860_evo_250gb_2_5_inch_sata3.jpg,"['- Loại SSD: Giao tiếp Sata III\r', '- Kích thước: 2.5 inch\r', '- Dung lượng: 250GB\r', '- Tốc độ đọc: 550MBps\r', '- Tốc độ ghi: 520MBps\r']"
1,HDPT049,Ổ cứng SSD Plextor PX 256M8VC 256GB 2.5 inch SATA3 (Đọc 560MB/s - Ghi 510MB/s),24 tháng,1299000,999000,img/SSD/250_45363_____c___ng_ssd_plextor_px_128m8vc_128gb.jpg,"['- Tốc độ đọc: 560MB/s\r', '- Tốc độ ghi: 520MB/s\r', '- Chương trình cơ sở PlexNitro độc quyền tối ưu hóa hiệu suất trong chế độ SLC mà không chiếm dung lượng SSD\r', '- Mã hóa toàn bộ ổ đĩa AES 256-bit dựa trên phần cứng đảm bảo bảo mật dữ liệu cao\r', '- Công nghệ LDPC mới nhất đảm bảo độ chính xác của dữ liệu & độ tin cậy của SSD\r']"
2,HDKT069,Ổ cứng SSD Kingston KC600 1024GB 2.5 inch SATA3 (Đọc 550MB/s - Ghi 520MB/s) - (KC600/1024GB) ,24 tháng,0,3199000,img/SSD/250_49900_____c___ng_ssd_kingston_skc600_1tb_2_5_inch_sata3.jpg,"['- Dung lượng: 1TB\r', '- Kích thước: 2.5""\r', '- Kết nối: SATA 3\r', '- NAND: 3D-NAND\r', '- Tốc độ đọc/ghi (tối đa): 550MB/s | 500MB/s']"
3,HDSA109,Ổ cứng SSD Samsung 970 PRO 512GB M.2 2280 PCIe NVMe 3x4 (Đọc 3500MB/s - Ghi 2300MB/s),24 tháng,0,5799000,img/SSD/250_42272_____c___ng_ssd_samsung_970_pro_512gb_m_2_2280_pcie_nvme_3x4.jpg,"['- Loại SSD: PCIe Gen 3.0 x4\r', '- Kích thước: M.2 (2280)\r', '- Dung lượng: 512GB\r', '- Tốc độ đọc:3500MBps\r', '- Tốc độ ghi: 2300MBps']"
4,HDKM014,Ổ cứng SSD Kingmax Zeus PX3480 256GB M.2 2280 PCIe NVMe Gen 3x4,24 tháng,0,1299000,img/SSD/250_44538_____c___ng_ssd_kingmax_zeus_px3480_256gb.jpg,"['- Dung lượng\t256GB\r', '- Chuẩn kết nối\tPCIe NVMe 3.0 x4\r', '- Kích thước(L x W x H) \t22 x 80 x 3.5mm \r', '- Tốc độ Đọc\tlên tới 3000 MB/s\r', '- Tốc độ Ghi\tlên tới 1000 MB/s\r']"
5,HDKT057,Ổ cứng SSD Kingston A400 120G M.2 2280 (Đọc 500MB/s - Ghi 320MB/s) - (SA400M8/120G),24 tháng,799000,589000,img/SSD/250_45612_sa400___m2_n0.jpg,"['- Nhanh hơn lên đến 10 lần so với ổ cứng truyền thống\r', '- Chịu va đập\r', '- Lý tưởng cho máy tính để bàn và máy tính xách tay\r', '- Độ rung hoạt động: 2.17G tối đa (7 - 800Hz)\r', '- Tuổi thọ trung bình: 1 triệu giờ MTBF']"
6,HDKF012,Ổ cứng SSD KINGFAST F10 512GB Sata3 2.5 inch (Đọc 550MB/s - Ghi 450MB/s) - (F10-512GB),24 tháng,1999000,1599000,img/SSD/250_48022_____c___ng_ssd_kingfast_f10_pro_512gb_2_5_inch_sata3.jpg,"['- Tốc độ đọc: 550MB/s\r', '- Tốc độ ghi: 500MB/s\r', '- NAND Flash\r', '- Form: 2.5""']"
7,HDWD311,Ổ cứng SSD Western SN750 Black 1TB M.2 2280 PCIe NVMe 3x4 (Đọc 3470MB/s - Ghi 3000MB/s) - (WDS100T3X0C),24 tháng,0,5699000,img/SSD/250_50406_ssd_wd_sn750_black_1tbgb_m_2_2280_pcie_nvme_3x4.jpg,"['- Dòng sản phẩm SSD cao cấp của WD dành cho game thủ\r', '- Dung lượng: 1TB\r', '- Kích thước: M.2\r', '- Kết nối: M.2 NVMe\r', '- NAND: 3D-NAND\r']"
8,HDGI010,"Ổ cứng SSD Gigabyte 128GB M.2 2280 PCIe NVMe Gen 3x4 (Đoc 1550MB/s, Ghi 550MB/s) - (GP-GSM2NE3128GNTD)",24 tháng,0,799000,img/SSD/250_53259_____c___ng_ssd_gigabyte_128gb_m_2_2280_pcie_nvme_gen_3x4.jpg,"['- Dung lượng: 128GB\r', '- Kích thước: M.2 2280\r', '- Kết nối: M.2 NVMe\r', '- Tốc độ đọc/ghi (tối đa): 1550MB/s | 550MB/s']"
9,HDSP004,Ổ cứng SSD Silicon Power S57 240GB Sata3 2.5 inch (Đọc 535MB/s - Ghi 410MB/s) - (SP240GBSS3S57A25),24 tháng,0,899000,img/SSD/250_34856_____c___ng_ssd_silicon_power_s57_240gb.jpg,"['- Tốc độ đọc: 535MB/s\r', '- Tốc độ ghi: 410MB/s\r', '- NAND FlashTLC']"
