,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,VGAS502,"Card màn hình ASUS TUF3 GTX 1660 Super-6G GAMING (6GB GDDR6, 192-bit, DVI+HDMI+DP, 1x8-pin)",24 tháng,7299000,6599000,img/VGA/250_49616_asus_tuf3_gtx_1660_super_o6g_01.jpg,"['- Phiên bản GTX 1660 Super cao cấp của Asus\r', '- Số nhân CUDA: 1408   \r', '- Xung nhân tối đa: 1845 MHz\r', '- Bộ nhớ: 6GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b, Dual-Link DVI-D\r']"
1,VGAS500,"Card màn hình ASUS TUF3 GTX 1660 Super-O6G GAMING (6GB GDDR6, 192-bit, DVI+HDMI+DP, 1x8-pin)",24 tháng,7499000,6899000,img/VGA/250_49614_asus_tuf3_gtx_1660_super_o6g_01.jpg,"['- Phiên bản GTX 1660 Super cao cấp của Asus\r', '- Số nhân CUDA: 1408   \r', '- Xung nhân tối đa: 1845 MHz\r', '- Bộ nhớ: 6GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b, Dual-Link DVI-D\r']"
2,VGAS517,"Card màn hình ASUS TUF GTX 1660 Ti-O6G GAMING (6GB GDDR6, 192-bit, DVI+HDMI+DP, 1x8-pin)",24 tháng,7499000,7099000,img/VGA/250_51652_01_tuf3_gtx1660_o6g_gaming.png,"['- Chip đồ họa: NVIDIA GeForce GTX 1660Ti\r', '- Bộ nhớ: 6GB GDDR6 ( 192-bit )\r', '- GPU clock OC Mode - GPU Boost Clock : 1845 MHz , GPU Base Clock : 1530 MHz Gaming Mode (Default) - GPU Boost Clock : 1815 MHz , GPU Base Clock : 1500 MHz\r', '- Nguồn phụ: 1 x 8-pin\r', '- Cổng kết nối : 1x DVI, 1xHDMI, 1x DP']"
3,VGAS510,"Card màn hình ASUS ROG STRIX GTX 1650 Super-A4G GAMING (4GB GDDR6, 128-bit, HDMI+DP, 1x6-pin)",24 tháng,0,5399000,img/VGA/250_50106_card_man_hinh_asus_rog_trix_gtx_1650_super_a4g_gaming_111.png,"['- Nhân đồ họa: NVIDIA GeForce GTX 1650\r', '- Bộ nhớ: 4GB GDDR5 ( 128-bit )\r', '- GPU clock OC Mode - GPU Boost Clock : 1710 MHz , GPU Base Clock : 1485 MHz Gaming Mode (Default) - GPU Boost Clock : 1680 MHz , GPU Base Clock : 1485 MHz\r', '- Nguồn phụ: 1 x 6-pin']"
4,VGAS511,"Card màn hình ASUS ROG TRIX GTX 1650 Super-4G GAMING (4GB GDDR6, 128-bit, HDMI+DP, 1x6-pin)",24 tháng,0,5099000,img/VGA/250_50107_rog_strix_gtx1650s_4g_gaming_1.jpg,"['- Dung lượng bộ nhớ: 4GB GDDR6\r', '- Boost: Tối đa 1785 MHz\r', '- Băng thông: 128-bit\r', '- Nguồn phụ: 1 x 6pin\r', '- PSU yêu cầu: 500W trở lên']"
5,VGAS491,"Card màn hình ASUS ROG STRIX RTX 2080 Super-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,23199000,22299000,img/VGA/250_47892_01_rog_strix_rtx2080s_o8g_gaming.png,"['- Phiên bản RTX 2080 Super cao cấp của Asus\r', '- Số nhân CUDA: 2944    \r', '- Xung nhân tối đa: 1830 MHz\r', '- Bộ nhớ: 8GB GDDR5\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b\r']"
6,VGAS474,"Card màn hình ASUS ROG-STRIX RTX 2060 Super-A8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",24 tháng,12799000,12499000,img/VGA/250_47497_rog_strix_rtx2060s_a8g_gaming_01.png,"['- Phiên bản RTX 2060 Super cao cấp của Asus\r', '- Số nhân CUDA: 2176     \r', '- Bộ nhớ: 8GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b\r', '- Nguồn đề nghị: 500W trở lên']"
7,VGAS482,"Card màn hình ASUS ROG STRIX RTX 2070 Super-8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,15799000,15299000,img/VGA/250_47505_01_rog_strix_rtx2070s_8g_gaming.png,"['- Phiên bản RTX 2070 Super cao cấp của Asus\r', '- Số nhân CUDA: 2304      \r', '- Xung nhân tối đa: 1845 MHz\r', '- Bộ nhớ: 8GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b\r']"
8,VGAS452,Card màn hình ASUS ROG STRIX GTX 1660 Ti - 6G GAMING,24 tháng,8499000,8099000,img/VGA/250_45640_asus_rog_strix_gtx_1660_ti_01.jpg,"['- Phiên bản GTX 1660Ti cao cấp của Galax\r', '- Số nhân CUDA: 1536 \r', '- Xung nhân tối đa: 1770 MHz\r', '- Bộ nhớ: 6GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b, Dual-Link DVI-D\r']"
9,VGAS524,"Card màn hình ASUS ROG STRIX RX 5600 XT-O6G GAMING (6GB GDDR6, 192-bit,HDMI+DP, 1x6-pin + 1x8-pin)",24 tháng,8999000,8699000,img/VGA/250_51851_rog_strix_rx5600xt_01.png,"['- Dung lượng bộ nhớ: 6GB GDDR6\r', '- Chế độ Chơi Game: Lên tới 1670 MHz (Xung chơi game**) / ~ 1750 MHz (Xung tăng cường*)\r', '- Chế độ OC: Lên tới 1670 MHz (Xung chơi game**) / ~ 1770 MHz (Xung tăng cường*)\r', '- Băng thông: 192-bit']"
10,VGAS516,"Card màn hình ASUS GT710-SL-2GD5 (2GB GDDR5, 64-bit, DVI+HDMI)",24 tháng,1359000,1289000,img/VGA/250_51573_asus_gt710_sl_2gd5_001.jpg,"['- Chipset: Geforce 710\r', '- Bộ nhớ: 1Gb DDR5/ 64Bit\r', '- Cổng giao tiếp: D-Sub/ DVI/ HDMI']"
11,VGAS492,"Card màn hình ASUS ROG STRIX RTX 2080 Super-8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,20999000,20999000,img/VGA/250_47893_01_rog_strix_rtx2080s_8g_gaming.png,"['- Phiên bản RTX 2080 Super cao cấp của Asus\r', '- Số nhân CUDA: 2944    \r', '- Xung nhân tối đa: 1830 MHz\r', '- Bộ nhớ: 8GB GDDR5\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b\r']"
12,VGAS404,"Card màn hình ASUS PH-GT1030-O2G (2GB GDDR5, 64-bit, DVI+HDMI)",24 tháng,2499000,2199000,img/VGA/250_37003_ph_gt1030_o2g_01.png,"['- Chip đồ họa: NVIDIA GeForce GT 1030\r', '- Bộ nhớ: 2GB GDDR5 ( 64-bit )\r', '- GPU clock Chế độ OC - Xung Tăng cường GPU : 1531 MHz , Xung Nền GPU : 1278 MHz Chế độ Chơi Game - Xung Tăng cường GPU : 1506 MHz , Xung Nền GPU : 1252 MHz\r', '- Nguồn phụ: Không nguồn phụ']"
13,VGAS473,"Card màn hình ASUS ROG STRIX RTX 2060 Super-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",24 tháng,12999000,12899000,img/VGA/250_47496_rog_strix_rtx2060s_01.png,"['- Phiên bản RTX 2060 Super cao cấp của Asus\r', '- Số nhân CUDA: 2176     \r', '- Xung nhân tối đa: 1700 MHz\r', '- Bộ nhớ: 8GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b\r']"
14,VGAS481,"Card màn hình ASUS ROG STRIX RTX 2070 Super-A8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,16499000,15799000,img/VGA/250_47504_rog_strix_rtx2070s_a8g_gaming_01.png,"['- Phiên bản RTX 2070 Super cao cấp của Asus\r', '- Số nhân CUDA: 2304      \r', '- Xung nhân tối đa: 1845 MHz\r', '- Bộ nhớ: 8GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b\r']"
15,VGAS498,"Card màn hình ASUS ROG STRIX RX 5700-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",24 tháng,11499000,10799000,img/VGA/250_48718_01_rog_strix_rx5700_o8g_gaming.png,"['- Phiên bản RX 5700 mạnh nhất từ Asus\r', '- Xung nhân tối đa: 1750 MHz\r', '- Bộ nhớ: 8GB GDDR6\r', '- Cổng kết nối: DisplayPort x 3/HDMI 2.0b x 1 \r', '- Hỗ trợ AMD Radeon FreeSync ™']"
16,VGAS497,"Card màn hình ASUS ROG STRIX RX 5700 XT-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,12499000,11899000,img/VGA/250_48717_01_rog_strix_rx5700xt_o8g_gaming.png,"['- Phiên bản RX 5700XT mạnh nhất từ Asus\r', '- Xung nhân tối đa: 1925 MHz\r', '- Bộ nhớ: 8GB GDDR6\r', '- Cổng kết nối: DisplayPort x 3/HDMI 2.0b x 1 \r', '- Hỗ trợ AMD Radeon FreeSync ™']"
17,VGAS475,"Card màn hình ASUS ROG STRIX RTX 2060 Super-8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",24 tháng,12599000,12399000,img/VGA/250_47498_rog_strix_rtx2060s_8g_gaming_01.png,"['- Phiên bản RTX 2060 Super cao cấp của Asus\r', '- Số nhân CUDA: 2176     \r', '- Bộ nhớ: 8GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b\r', '- Nguồn đề nghị: 500W trở lên']"
18,VGAS480,"Card màn hình ASUS ROG STRIX RTX 2070 Super-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,16999000,16599000,img/VGA/250_47503_rog_strix_rtx2070_s_01.png,"['- Phiên bản RTX 2070 Super cao cấp của Asus\r', '- Số nhân CUDA: 2304      \r', '- Xung nhân tối đa: 1845 MHz\r', '- Bộ nhớ: 8GB GDDR6\r', '- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b\r']"
