Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
VGAS517,"Card màn hình ASUS TUF GTX 1660 Ti-O6G GAMING (6GB GDDR6, 192-bit, DVI+HDMI+DP, 1x8-pin)",24 tháng,7499000,7099000,img/VGA/250_51652_01_tuf3_gtx1660_o6g_gaming.png,"- Chip đồ họa: NVIDIA GeForce GTX 1660Ti.- Bộ nhớ: 6GB GDDR6 ( 192-bit ).- GPU clock OC Mode - GPU Boost Clock : 1845 MHz , GPU Base Clock : 1530 MHz Gaming Mode (Default) - GPU Boost Clock : 1815 MHz , GPU Base Clock : 1500 MHz.- Nguồn phụ: 1 x 8-pin.- Cổng kết nối : 1x DVI, 1xHDMI, 1x DP."
VGAS510,"Card màn hình ASUS ROG STRIX GTX 1650 Super-A4G GAMING (4GB GDDR6, 128-bit, HDMI+DP, 1x6-pin)",24 tháng,0,5399000,img/VGA/250_50106_card_man_hinh_asus_rog_trix_gtx_1650_super_a4g_gaming_111.png,"- Nhân đồ họa: NVIDIA GeForce GTX 1650.- Bộ nhớ: 4GB GDDR5 ( 128-bit ).- GPU clock OC Mode - GPU Boost Clock : 1710 MHz , GPU Base Clock : 1485 MHz Gaming Mode (Default) - GPU Boost Clock : 1680 MHz , GPU Base Clock : 1485 MHz.- Nguồn phụ: 1 x 6-pin."
VGAS511,"Card màn hình ASUS ROG TRIX GTX 1650 Super-4G GAMING (4GB GDDR6, 128-bit, HDMI+DP, 1x6-pin)",24 tháng,0,5099000,img/VGA/250_50107_rog_strix_gtx1650s_4g_gaming_1.jpg,- Dung lượng bộ nhớ: 4GB GDDR6.- Boost: Tối đa 1785 MHz.- Băng thông: 128-bit.- Nguồn phụ: 1 x 6pin.- PSU yêu cầu: 500W trở lên.
VGAS491,"Card màn hình ASUS ROG STRIX RTX 2080 Super-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,23199000,22299000,img/VGA/250_47892_01_rog_strix_rtx2080s_o8g_gaming.png,"- Phiên bản RTX 2080 Super cao cấp của Asus.- Số nhân CUDA: 2944    .- Xung nhân tối đa: 1830 MHz.- Bộ nhớ: 8GB GDDR5.- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b."
VGAS474,"Card màn hình ASUS ROG-STRIX RTX 2060 Super-A8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",24 tháng,12799000,12499000,img/VGA/250_47497_rog_strix_rtx2060s_a8g_gaming_01.png,"- Phiên bản RTX 2060 Super cao cấp của Asus.- Số nhân CUDA: 2176     .- Bộ nhớ: 8GB GDDR6.- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b.- Nguồn đề nghị: 500W trở lên."
VGAS481,"Card màn hình ASUS ROG STRIX RTX 2070 Super-A8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,16499000,15799000,img/VGA/250_47504_rog_strix_rtx2070s_a8g_gaming_01.png,"- Phiên bản RTX 2070 Super cao cấp của Asus.- Số nhân CUDA: 2304      .- Xung nhân tối đa: 1845 MHz.- Bộ nhớ: 8GB GDDR6.- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b."
VGAS498,"Card màn hình ASUS ROG STRIX RX 5700-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",24 tháng,11499000,10799000,img/VGA/250_48718_01_rog_strix_rx5700_o8g_gaming.png,- Phiên bản RX 5700 mạnh nhất từ Asus.- Xung nhân tối đa: 1750 MHz.- Bộ nhớ: 8GB GDDR6.- Cổng kết nối: DisplayPort x 3/HDMI 2.0b x 1 .- Hỗ trợ AMD Radeon FreeSync ™.
VGAS497,"Card màn hình ASUS ROG STRIX RX 5700 XT-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,12499000,11899000,img/VGA/250_48717_01_rog_strix_rx5700xt_o8g_gaming.png,- Phiên bản RX 5700XT mạnh nhất từ Asus.- Xung nhân tối đa: 1925 MHz.- Bộ nhớ: 8GB GDDR6.- Cổng kết nối: DisplayPort x 3/HDMI 2.0b x 1 .- Hỗ trợ AMD Radeon FreeSync ™.
VGAS475,"Card màn hình ASUS ROG STRIX RTX 2060 Super-8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",24 tháng,12599000,12399000,img/VGA/250_47498_rog_strix_rtx2060s_8g_gaming_01.png,"- Phiên bản RTX 2060 Super cao cấp của Asus.- Số nhân CUDA: 2176     .- Bộ nhớ: 8GB GDDR6.- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b.- Nguồn đề nghị: 500W trở lên."
VGAS480,"Card màn hình ASUS ROG STRIX RTX 2070 Super-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,16999000,16599000,img/VGA/250_47503_rog_strix_rtx2070_s_01.png,"- Phiên bản RTX 2070 Super cao cấp của Asus.- Số nhân CUDA: 2304      .- Xung nhân tối đa: 1845 MHz.- Bộ nhớ: 8GB GDDR6.- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b."
VGAS465,"Card màn hình ASUS ROG STRIX GTX 1650-A4G GAMING (4GB GDDR5, 128-bit, HDMI+DP)",24 tháng,4599000,4199000,img/VGA/250_51374_rog_strix_gtx1650_a4g_gaming_01.png,"- Phiên bản GTX 1650 cao cấp của Asus.- Số nhân CUDA: 896.- Xung nhân tối đa: 1710 MHz (Boost Clock)/1485 MHz (Base Clock).- Bộ nhớ: 4GB GDDR5 128 Bit.- Cổng kết nối: 2x DisplayPort 1.4, 2x HDMI 2.0b."
VGAS428,Vga Card ASUS ROG STRIX RTX 2080 - O8G - GAMING,24 tháng,0,23590000,img/VGA/250_43881_1_hinh_dai_dien_card_man_hinh_choi_game_cao_cap_asus_rog_strix_rtx2080_8g_gamiing_aura_sync_fullbox_phu_kien_san_pham.png,- Graphics Engine	NVIDIA® GeForce® RTX 2080.- Core Name	.- Bus Standard	PCI Express 3.0.- Video Memory	GDDR6 8GB.- Engine Clock	.
VGAS482,"Card màn hình ASUS ROG STRIX RTX 2070 Super-8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",24 tháng,15799000,15299000,img/VGA/250_47505_01_rog_strix_rtx2070s_8g_gaming.png,"- Phiên bản RTX 2070 Super cao cấp của Asus.- Số nhân CUDA: 2304      .- Xung nhân tối đa: 1845 MHz.- Bộ nhớ: 8GB GDDR6.- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b."
VGAS452,Card màn hình ASUS ROG STRIX GTX 1660 Ti - 6G GAMING,24 tháng,8499000,8099000,img/VGA/250_45640_asus_rog_strix_gtx_1660_ti_01.jpg,"- Phiên bản GTX 1660Ti cao cấp của Galax.- Số nhân CUDA: 1536 .- Xung nhân tối đa: 1770 MHz.- Bộ nhớ: 6GB GDDR6.- Cổng kết nối: DisplayPort 1.4, HDMI 2.0b, Dual-Link DVI-D."
