, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ ,  Mục Đích Sử Dụng ,  Kích Thước ,  Độ Phân Giải ,  Tấm Nền Màn Hình ,  Tần Số ,  Thời Gian Đáp Ứng ,  Độ Sáng ,  Kết Nối ,  Bề Mặt ,  Màu Sắc Hiển Thị ,  Công Nghệ Đồng Bộ ,  Cảm Ứng ,  Đặc Điểm Khác 
0,Màn Hình Lenovo,ACER,Dưới 2 triệu,Thiết Kế Đồ Họa,15 inch,HD (1366x768),IPS,60 Hz,0.5ms,200 cd/m²,HDMI,Màn Hình Phẳng,16.7 Triệu Màu,AMD FreeSync,Có,Dưới 99% sRGB
1,Màn Hình MSI,AOC,2 triệu - 3 triệu,Gaming,15.6 inch,HD+ (1600x900),PLS,75 Hz,1ms,220 cd/m²,DisplayPort,Màn Hình Cong,1.07 Tỉ Màu,NVIDIA G-Sync,Không,99% sRGB
2,Màn Hình Huntkey,ASUS,3 triệu - 5 triệu,"Phổ Thông, Văn Phòng",17 inch,Full HD (1920x1080),VA,100 Hz,Khác,240 cd/m²,DVI,,,,,Trên 100% sRGB
3,Màn Hình Gigabyte,BENQ,5 triệu - 7 triệu,,18.5 inch,UWHD (2560x1080),TN,120 Hz,4ms,250 cd/m²,VGA,,,,,Có Tích Hợp Loa
4,Màn Hình Dell,BJX,7 triệu - 9 triệu,,19 inch,WUXGA (1920x1200),,144 Hz,5ms,270 cd/m²,USB,,,,,
5,Màn Hình LG,BRATECH,9 triệu - 12 triệu,,19.5 inch,QHD (2560x1440),,165 Hz,6ms,280 cd/m²,USB-C,,,,,
6,Màn Hình Samsung,COOLER MASTER,12 triệu - 15 triệu,,20.7 inch,WQHD (3440x1440),,200 Hz,7ms,300 cd/m²,Thunder bolt 3,,,,,
7,Màn Hình AOC,DELL,15 triệu - 18 triệu,,21.5 inch,WQHD+(3840 x 1600),,240 Hz,8ms,330 cd/m²,,,,,,
8,Màn Hình ViewSonic,FUJITSU,18 triệu - 20 triệu,,23 inch,DualQHD (5120x1440),,280 Hz,12ms,350 cd/m²,,,,,,
9,Màn Hình HP,GIGABYTE,20 triệu - 30 triệu,,23.6 inch,4K (3840x2160),,,,370 cd/m²,,,,,,
10,Màn Hình Acer,HKC,Trên 30 triệu,,23.8 inch,Khác,,,,400 cd/m²,,,,,,
11,Màn Hình Asus,HP,,,24 inch,,,,,450 cd/m²,,,,,,
12,Màn Hình BenQ,HUNTKEY,,,24.5 inch,,,,,500 cd/m²,,,,,,
13,Màn Hình Hãng Khác,KINGLIGHT,,,25 inch,,,,,600 cd/m²,,,,,,
14,Màn Hình HKC,LENOVO,,,27 inch,,,,,1000 cd/m²,,,,,,
15,Phụ Kiện Ghép Màn Hình,LG,,,28 inch,,,,,,,,,,,
16,Giá treo màn hình,MSI,,,29 inch,,,,,,,,,,,
17,,NORTH BAYOU,,,30 inch,,,,,,,,,,,
18,,PHILLIP,,,31.5 inch,,,,,,,,,,,
19,,SAMSUNG,,,32 inch,,,,,,,,,,,
20,,THINKVIEW,,,34 inch,,,,,,,,,,,
21,,VIEWSONIC,,,35 inch,,,,,,,,,,,
22,,,,,38 inch,,,,,,,,,,,
23,,,,,43 inch,,,,,,,,,,,
24,,,,,49 inch,,,,,,,,,,,
25,,,,,65 inch,,,,,,,,,,,
