, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ ,  Loại case ,  Chất liệu ,  Kích thước Mainboard ,  Số lượng ổ 5.25 ,  Số lượng ổ 3.5 tối đa ,  Số lượng ổ 2.5 tối đa ,  Cửa sổ hông ,  Màu case ,  Số lượng quạt đi kèm 
0,CPU - Bộ vi xử lý,AEROCOOL,Dưới 1 triệu,ATX Super Tower,Nhôm,mini-ITX,0,1-5,1-5,Kính,Đỏ,0
1,Mainboard - Bo mạch chủ,ANTEC,1 triệu - 2 triệu,ATX Full Tower,Thép,M-ATX,1-5,6-10,6-10,Mica,Xám,1
2,RAM - Bộ nhớ trong,ANTECH,2 triệu - 3 triệu,ATX Mid Tower,Kính cường lực,ATX,,11-15,11-15,Không có,Trắng,2
3,Ổ cứng HDD,ASUS,Trên 3 triệu,Mini ATX,Nhựa,E-ATX,,,,,Hồng,3
4,Ổ cứng SSD,COOLER MASTER,,Mini ITX,,EEB,,,,,Bạc,4
5,ODD - Ổ đĩa quang,CORSAIR,,,,CEB,,,,,Xanh dương,5
6,VGA - Card Màn Hình,COUGAR,,,,,,,,,Đen,6
7,Case - Vỏ máy tính,DEEP COOL,,,,,,,,,,
8,PSU - Nguồn máy tính,E-DRA,,,,,,,,,,
9,,EKWB,,,,,,,,,,
10,,FORGAME,,,,,,,,,,
11,,FSP,,,,,,,,,,
12,,GAMEMAX,,,,,,,,,,
13,,GIGABYTE,,,,,,,,,,
14,,GOLDEN FIELD,,,,,,,,,,
15,,HÃNG KHÁC,,,,,,,,,,
16,,ID COOLING,,,,,,,,,,
17,,IN WIN,,,,,,,,,,
18,,JETEK,,,,,,,,,,
19,,JONSBO,,,,,,,,,,
20,,KENOO,,,,,,,,,,
21,,LIAN-LI,,,,,,,,,,
22,,MSI,,,,,,,,,,
23,,NZXT,,,,,,,,,,
24,,ORIENT,,,,,,,,,,
25,,PHANTEKS,,,,,,,,,,
26,,RAIJINTEK,,,,,,,,,,
27,,SAMA,,,,,,,,,,
28,,SILVERSTONE,,,,,,,,,,
29,,SUPERMICRO,,,,,,,,,,
30,,THERMALTAKE,,,,,,,,,,
31,,VITRA DRAGON,,,,,,,,,,
32,,XIGMATEK,,,,,,,,,,
33,,XTECH,,,,,,,,,,
