, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ ,  Công suất ,  Chuẩn nguồn ,  Kiểu dây nguồn ,  Số chân nguồn 24pin Mainboard ,  Số chân nguồn 4+4 pin CPU ,  Số chân nguồn PCI-e 6+2 VGA ,  Số chân nguồn SATA  ,  Số chân nguồn IDE Molex ,  Kích cỡ nguồn 
0,CPU - Bộ vi xử lý,ACBEL,Dưới 2 triệu,Dưới 400W,80 Plus,Non Modular ( Dây liền toàn bộ ),1,1,1-2,1-4,1-5,FLEX ATX
1,Mainboard - Bo mạch chủ,AEROCOOL,2 triệu - 4 triệu,400W - 550W,80 Plus Bronze,Full Modular ( Dây rời toàn bộ ),,2,3-4,5-8,6-10,ATX
2,RAM - Bộ nhớ trong,ASUS,4 triệu - 8 triệu,550W - 650W,80 Plus Gold,Semi Modular ( Dây rời trừ 24 pin & 8 pin ),,,5-6,9-12,,SFX
3,Ổ cứng HDD,CISCO,Trên 8 triệu,650W - 800W,80 Plus Platinum,,,,>7,13-16,,
4,Ổ cứng SSD,COOLER MASTER,,800W - 1000W,80 Plus Titanium,,,,,,,
5,ODD - Ổ đĩa quang,CORSAIR,,Trên 1000W,,,,,,,,
6,VGA - Card Màn Hình,FSP,,,,,,,,,,
7,Case - Vỏ máy tính,GAMEMAX,,,,,,,,,,
8,PSU - Nguồn máy tính,GIGABYTE,,,,,,,,,,
9,,HÃNG KHÁC,,,,,,,,,,
10,,JETEK,,,,,,,,,,
11,,JUPISTAR,,,,,,,,,,
12,,KENOO,,,,,,,,,,
13,,SAMA,,,,,,,,,,
14,,SEASONIC,,,,,,,,,,
15,,SILVERSTONE,,,,,,,,,,
16,,SUPER FLOWER,,,,,,,,,,
17,,THERMALTAKE,,,,,,,,,,
18,,XIGMATEK,,,,,,,,,,
19,,XTECH,,,,,,,,,,
