, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ ,  Dung Lượng ,  Loại Ổ Cứng 
0,CPU - Bộ vi xử lý,ADATA,Dưới 1 triệu,16 GB,"2.5"" SATA"
1,Mainboard - Bo mạch chủ,APACER,1 triệu - 2 triệu,32 GB,M.2 SATA
2,RAM - Bộ nhớ trong,AVEXIR,2 triệu - 3 triệu,120 GB,M.2 NVMe
3,Ổ cứng HDD,CORSAIR,3 triệu - 4 triệu,128 GB,
4,Ổ cứng SSD,CRUCIAL,Trên 4 triệu,240 GB,
5,ODD - Ổ đĩa quang,GIGABYTE,,250 GB,
6,VGA - Card Màn Hình,HP,,256 GB,
7,Case - Vỏ máy tính,INTEL,,480 GB,
8,PSU - Nguồn máy tính,KINGFAST,,500 GB,
9,,KINGMAX,,512 GB,
10,,KINGSTON,,960 GB,
11,,PLEXTOR,,1 TB,
12,,PNY,,> 1 TB,
13,,SAMSUNG,,,
14,,SEAGATE,,,
15,,SILICONPOWER,,,
16,,TEAM,,,
17,,WESTERN DIGITAL,,,
